ENSEMBL,ENTREZID,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val
ENSG00000089177,55614,KIF16B,0.32852837,4.16183449,3.99895714,0.00017683,0.01198081
ENSG00000204310,10554,AGPAT1,-0.3003843,6.42450319,-3.9923425,0.00018077,0.0120067
ENSG00000078177,55728,N4BP2,0.60718788,2.48614114,3.99072187,0.00018174,0.0120067
ENSG00000162402,23358,USP24,0.40148121,6.22991285,3.99072069,0.00018175,0.0120067
ENSG00000141646,4089,SMAD4,0.39099,5.73676012,3.98949501,0.00018249,0.0120067
ENSG00000145907,10146,G3BP1,0.41668481,6.53793583,3.98940516,0.00018254,0.0120067
ENSG00000174939,253982,ASPHD1,-0.6472112,5.97134988,-3.9888525,0.00018288,0.0120067
ENSG00000134590,8933,RTL8C,-0.4050077,7.48300206,-3.9864147,0.00018437,0.0120067
ENSG00000006047,51087,YBX2,-0.8287252,0.50968168,-3.9862306,0.00018448,0.0120067
ENSG00000184220,84319,CMSS1,-0.4880332,4.67088105,-3.9784088,0.00018934,0.01226262
ENSG00000103479,5934,RBL2,0.43160205,6.37617145,3.97614685,0.00019077,0.01229486
ENSG00000100600,5641,LGMN,-0.3527184,5.2953972,-3.9729176,0.00019283,0.01236712
ENSG00000113108,10307,APBB3,-0.477235,4.29348476,-3.9680479,0.00019597,0.01249586
ENSG00000121864,51193,ZNF639,0.23209249,5.02224623,3.96688749,0.00019673,0.01249586
ENSG00000106780,1955,MEGF9,0.40966555,7.44692901,3.96268075,0.00019949,0.01252653
ENSG00000119720,55051,NRDE2,0.36375311,4.30333604,3.96213516,0.00019985,0.01252653
ENSG00000058866,1608,DGKG,0.500472,5.53415472,3.96183186,0.00020005,0.01252653
ENSG00000180879,6748,SSR4,-0.409436,5.3720027,-3.9555767,0.00020424,0.01265747
ENSG00000171316,55636,CHD7,0.66184747,4.56039494,3.95512148,0.00020455,0.01265747
ENSG00000185432,25840,METTL7A,0.76773479,8.11434885,3.95302868,0.00020598,0.01265747
ENSG00000109016,25979,DHRS7B,-0.3438992,4.00394772,-3.9530287,0.00020598,0.01265747
ENSG00000053254,1112,FOXN3,0.46285027,6.22148031,3.94980324,0.00020819,0.01273418
ENSG00000125037,55831,EMC3,-0.2570625,5.8579345,-3.9483613,0.00020918,0.01273616
ENSG00000076108,11176,BAZ2A,0.38937338,6.02577896,3.94272165,0.00021313,0.01290144
ENSG00000153822,3773,KCNJ16,0.88401871,4.69340106,3.94169319,0.00021385,0.01290144
ENSG00000102218,6102,RP2,0.65707624,2.96214569,3.93640563,0.00021762,0.01306934
ENSG00000102898,10204,NUTF2,-0.3113918,6.23073459,-3.9314871,0.00022119,0.01322315
