gene_name	log2_fold_change	p_value	ref_allele	non_ref_allele	sample_size
ENSG00000064300|NGFR	0.480479219	6.77287e-07	AD	Control	160
ENSG00000183091|NEB	-0.033490799	2.29518e-05	AD	Control	160
ENSG00000065320|NTN1	0.192789704	2.80545e-06	AD	Control	160
ENSG00000066583|ISOC1	0.150086721	5.32732e-07	AD	Control	160
ENSG00000067082|KLF6	0.358364854	2.21921e-10	AD	Control	160
ENSG00000067445|TRO	-0.184581965	6.10911e-08	AD	Control	160
ENSG00000070444|MNT	-0.040150932	1.59916e-05	AD	Control	160
ENSG00000070718|AP3M2	-0.158179078	3.31914e-06	AD	Control	160
ENSG00000068697|LAPTM4A	0.298083535	2.95276e-11	AD	Control	160
ENSG00000069206|ADAM7	0.392973151	5.24398e-06	AD	Control	160
ENSG00000070669|ASNS	-0.117621857	5.76235e-06	AD	Control	160
ENSG00000072135|PTPN18	-0.144785845	4.82258e-07	AD	Control	160
ENSG00000069696|DRD4	-0.326381363	2.37697e-06	AD	Control	160
ENSG00000070031|SCT	-0.725448124	5.97909e-10	AD	Control	160
ENSG00000072210|ALDH3A2	0.290385971	1.09991e-10	AD	Control	160
ENSG00000072786|STK10	0.024861541	2.58612e-05	AD	Control	160
ENSG00000073861|TBX21	0.054305331	2.7173e-05	AD	Control	160
ENSG00000074071|MRPS34	-0.108641477	2.7181e-06	AD	Control	160
ENSG00000074410|CA12	-0.166417294	1.57351e-05	AD	Control	160
ENSG00000137764|MAP2K5	-0.060437686	1.08535e-05	AD	Control	160
ENSG00000078237|TIGAR	0.218244632	6.10599e-07	AD	Control	160
ENSG00000078579|FGF20	-0.334212949	5.27239e-07	AD	Control	160
ENSG00000003987|MTMR7	-0.160227992	6.40472e-06	AD	Control	160
ENSG00000080618|CPB2	-0.426989941	4.27761e-07	AD	Control	160
ENSG00000065809|FAM107B	-0.109499061	1.76577e-05	AD	Control	160
ENSG00000065883|CDK13	0.024260572	1.67297e-05	AD	Control	160
ENSG00000064201|TSPAN32	-0.113866933	1.24037e-05	AD	Control	160
ENSG00000064763|FAR2	-0.178683298	5.14818e-07	AD	Control	160
ENSG00000065308|TRAM2	0.355738545	1.93009e-11	AD	Control	160
ENSG00000066405|CLDN18	0.223903479	2.48757e-06	AD	Control	160
ENSG00000065371|ROPN1	-0.157047906	1.09101e-05	AD	Control	160
ENSG00000065518|NDUFB4	-0.011134935	2.6584e-05	AD	Control	160
ENSG00000068097|HEATR6	0.022471605	2.38311e-05	AD	Control	160
ENSG00000068912|ERLEC1	-0.179627425	1.20557e-06	AD	Control	160
ENSG00000112782|CLIC5	0.079599586	2.08388e-05	AD	Control	160
ENSG00000075568|TMEM131	0.04995541	1.27443e-05	AD	Control	160
ENSG00000172995|ARPP21	-0.181220039	5.04255e-06	AD	Control	160
ENSG00000007129|CEACAM21	-0.441040896	2.63386e-07	AD	Control	160
ENSG00000072954|TMEM38A	-0.185388661	2.33734e-06	AD	Control	160
ENSG00000073008|PVR	0.091212153	5.4947e-06	AD	Control	160
ENSG00000159885|ZNF222	-0.041744295	1.77646e-05	AD	Control	160
ENSG00000170848|PSG6	-0.776505996	9.80128e-09	AD	Control	160
ENSG00000075089|ACTR6	-0.127651282	4.93715e-07	AD	Control	160
ENSG00000075415|SLC25A3	-0.128724503	1.68308e-06	AD	Control	160
ENSG00000012504|NR1H4	-0.073814991	2.18697e-05	AD	Control	160
ENSG00000078098|FAP	0.183731164	2.21923e-06	AD	Control	160
ENSG00000077150|NFKB2	0.30599245	8.05184e-07	AD	Control	160
ENSG00000030304|MUSK	0.118305679	2.07265e-05	AD	Control	160
ENSG00000064218|DMRT3	-0.463808992	2.26711e-06	AD	Control	160
ENSG00000079156|OSBPL6	-0.044543776	2.01391e-05	AD	Control	160
ENSG00000064205|WISP2	-0.114946856	1.5382e-05	AD	Control	160
ENSG00000064601|CTSA	-0.034672695	1.26128e-05	AD	Control	160
ENSG00000134461|ANKRD16	-0.07205639	5.5832e-06	AD	Control	160
ENSG00000154252|GAL3ST2	0.048684122	2.92892e-05	AD	Control	160
ENSG00000065060|UHRF1BP1	0.161801532	1.9819e-07	AD	Control	160
ENSG00000081087|OSTM1	0.037461827	1.23856e-05	AD	Control	160
ENSG00000081148|IMPG2	0.163147953	2.66848e-06	AD	Control	160
ENSG00000072110|ACTN1	0.156465217	3.60227e-06	AD	Control	160
ENSG00000249437|NAIP	-0.279933718	3.27393e-06	AD	Control	160
ENSG00000081791|DELE1	-0.102152462	4.26584e-07	AD	Control	160
ENSG00000081800|SLC13A1	0.245602672	1.03802e-05	AD	Control	160
ENSG00000081818|PCDHB4	0.654732148	2.20664e-17	AD	Control	160
ENSG00000112852|PCDHB2	-0.075667795	1.2739e-05	AD	Control	160
ENSG00000081870|HSPB11	-0.133227637	8.2416e-08	AD	Control	160
ENSG00000082146|STRADB	0.053440906	7.94379e-06	AD	Control	160
ENSG00000082269|FAM135A	-0.063885027	3.34531e-06	AD	Control	160
ENSG00000082458|DLG3	-0.211527907	2.30751e-06	AD	Control	160
ENSG00000082684|SEMA5B	-0.317056389	7.52401e-08	AD	Control	160
ENSG00000065609|SNAP91	-0.135880032	1.4298e-05	AD	Control	160
ENSG00000083444|PLOD1	0.001479137	3.04365e-05	AD	Control	160
ENSG00000083544|TDRD3	-0.204458731	1.49672e-09	AD	Control	160
ENSG00000083720|OXCT1	-0.084457558	1.84506e-05	AD	Control	160
ENSG00000083812|ZNF324	0.039890867	1.77338e-05	AD	Control	160
ENSG00000083817|ZNF416	0.097802902	1.91262e-06	AD	Control	160
ENSG00000083845|RPS5	-0.222082232	1.66107e-07	AD	Control	160
ENSG00000084444|FAM234B	-0.168769493	6.58784e-06	AD	Control	160
ENSG00000085514|PILRA	-0.211242219	1.22758e-06	AD	Control	160
ENSG00000085721|RRN3	0.073440687	3.25735e-06	AD	Control	160
ENSG00000166391|MOGAT2	0.329349463	1.29323e-05	AD	Control	160
ENSG00000085872|CHERP	-0.028772283	1.73776e-05	AD	Control	160
ENSG00000167580|AQP2	0.530047084	6.95181e-06	AD	Control	160
ENSG00000086189|DIMT1	-0.043053208	1.14314e-05	AD	Control	160
ENSG00000086232|EIF2AK1	0.035526867	1.73981e-05	AD	Control	160
ENSG00000086288|NME8	-0.275490409	7.92198e-06	AD	Control	160
ENSG00000086289|EPDR1	-0.003042949	3.03442e-05	AD	Control	160
ENSG00000086504|MRPL28	-0.264400805	5.37126e-09	AD	Control	160
ENSG00000086506|HBQ1	-0.356281204	5.29043e-07	AD	Control	160
ENSG00000086548|CEACAM6	-0.551754615	1.42209e-06	AD	Control	160
ENSG00000086589|RBM22	-0.019916437	2.08137e-05	AD	Control	160
