MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal
ENSG00000251609|SETP12	ad	control	319.00	0.267	0.7897	+0	0.0	0.071	1	0.7903
ENSG00000278683|AC006329.2	ad	control	319.00	-2.280	0.02258	-0	80.6	5.168	1	0.02301
ENSG00000111897|SERINC1	ad	control	319.00	-1.743	0.08131	--	20.8	1.263	1	0.261
ENSG00000261665|TUBAP4	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000241423|RPL21P103	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000109917|ZPR1	ad	control	319.00	0.186	0.8525	-+	32.0	1.471	1	0.2251
ENSG00000225823|RPL7P45	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000213644|SAPCD2P1	ad	control	319.00	0.219	0.827	+0	0.0	0.047	1	0.8275
ENSG00000279000|OR10A6	ad	control	319.00	0.696	0.4862	++	0.0	0.017	1	0.896
ENSG00000107165|TYRP1	ad	control	319.00	-2.638	0.008339	--	74.8	3.968	1	0.04636
ENSG00000224736|HLA-V	ad	control	319.00	-0.921	0.3569	-+	94.7	18.877	1	1.394e-05
ENSG00000184206|GOLGA6L4	ad	control	319.00	-0.005	0.9963	-+	0.0	0.786	1	0.3754
ENSG00000282490|AC245594.2	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000254402|LRRC24	ad	control	319.00	-3.773	0.0001612	--	61.2	2.578	1	0.1083
ENSG00000186265|BTLA	ad	control	319.00	0.461	0.6446	++	0.0	0.026	1	0.8712
ENSG00000240759|RPS27P21	ad	control	319.00	-0.468	0.6396	-0	0.0	0.218	1	0.6407
ENSG00000116903|EXOC8	ad	control	319.00	-0.789	0.4304	+-	52.0	2.083	1	0.1489
ENSG00000237876|AKR1B1P4	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000125629|INSIG2	ad	control	319.00	-2.012	0.0442	--	0.0	0.559	1	0.4548
ENSG00000165895|ARHGAP42	ad	control	319.00	5.359	8.366e-08	++	66.2	2.958	1	0.08547
ENSG00000102316|MAGED2	ad	control	319.00	-0.078	0.9379	+-	0.0	0.888	1	0.3459
ENSG00000223722|AC023157.1	ad	control	319.00	0.781	0.4351	+0	0.0	0.605	1	0.4365
ENSG00000174945|AMZ1	ad	control	319.00	0.446	0.6555	++	0.0	0.071	1	0.7903
ENSG00000259000|DOCK11P1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000230088|KRT16P5	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000184194|GPR173	ad	control	319.00	-0.944	0.3451	-+	80.4	5.091	1	0.02406
ENSG00000230467|RNF39	ad	control	319.00	0.178	0.8587	+0	0.0	0.032	1	0.8591
ENSG00000255424|AC027026.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000230685|CLIC1	ad	control	319.00	3.282	0.001032	++	78.6	4.682	1	0.03048
ENSG00000250677|AC114781.3	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000270472|IGHV3OR16-9	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000182256|GABRG3	ad	control	319.00	-2.491	0.01275	--	0.0	0.386	1	0.5346
ENSG00000125818|PSMF1	ad	control	319.00	-0.058	0.9535	+-	0.0	0.540	1	0.4623
ENSG00000187068|C3orf70	ad	control	319.00	0.319	0.7495	++	0.0	0.096	1	0.7571
ENSG00000143653|SCCPDH	ad	control	319.00	-1.652	0.0986	--	0.0	0.006	1	0.9367
ENSG00000234946|SDHCP3	ad	control	319.00	1.046	0.2955	++	8.2	1.090	1	0.2965
ENSG00000256310|NDUFA5P6	ad	control	319.00	0.159	0.8736	+-	0.0	0.084	1	0.7725
ENSG00000213928|IRF9	ad	control	319.00	1.285	0.1989	-+	58.5	2.408	1	0.1207
ENSG00000231086|TSSK1A	ad	control	319.00	-0.603	0.5464	-+	0.0	0.666	1	0.4144
ENSG00000204805|AL391987.2	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000229365|AC006967.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000106682|EIF4H	ad	control	319.00	-1.706	0.08807	--	0.0	0.455	1	0.5001
ENSG00000138472|GUCA1C	ad	control	319.00	-2.267	0.02342	-0	80.4	5.105	1	0.02385
ENSG00000257224|CR383656.2	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000183960|KCNH8	ad	control	319.00	-2.030	0.04235	-+	81.2	5.309	1	0.02122
ENSG00000270935|AL021808.1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000232456|AL355994.2	ad	control	319.00	-0.599	0.5489	--	0.0	0.005	1	0.9442
ENSG00000230556|AC073264.2	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000138785|INTS12	ad	control	319.00	4.493	7.007e-06	++	94.3	17.647	1	2.659e-05
ENSG00000223807|BOLA3P4	ad	control	319.00	0.160	0.8727	+0	0.0	0.025	1	0.8731
ENSG00000282826|FRG1CP	ad	control	319.00	-1.996	0.0459	--	0.0	0.507	1	0.4763
ENSG00000226987|AL157938.1	ad	control	319.00	1.707	0.08775	+-	72.7	3.669	1	0.05544
ENSG00000276286|ADAM2	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000177674|AGTRAP	ad	control	319.00	1.826	0.06789	-+	73.2	3.726	1	0.05356
ENSG00000173156|RHOD	ad	control	319.00	2.403	0.01628	++	0.0	0.377	1	0.5391
ENSG00000166211|SPIC	ad	control	319.00	-0.488	0.6256	-0	0.0	0.237	1	0.6266
ENSG00000188691|OR56A5	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000230819|ZNF736P5Y	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000213654|GPSM3	ad	control	319.00	1.261	0.2073	++	0.0	0.598	1	0.4392
ENSG00000214992|AKAP17BP	ad	control	319.00	2.559	0.01048	++	61.2	2.577	1	0.1085
ENSG00000181273|OR5AK2	ad	control	319.00	1.243	0.2137	+0	34.9	1.537	1	0.2151
