gene_name	log2_fold_change	p_value	ref_allele	non_ref_allele	sample_size
ENSG00000087250|MT3	-0.120444186	1.37057e-05	AD	Control	232
ENSG00000087494|PTHLH	-0.3845874	3.62625e-08	AD	Control	232
ENSG00000087510|TFAP2C	0.533414978	9.10856e-09	AD	Control	232
ENSG00000131037|EPS8L1	0.275267267	6.3417e-06	AD	Control	232
ENSG00000182389|CACNB4	-0.376402222	1.89896e-09	AD	Control	232
ENSG00000197183|NOL4L	0.174615934	8.62372e-07	AD	Control	232
ENSG00000088305|DNMT3B	0.188646665	5.79956e-07	AD	Control	232
ENSG00000088320|REM1	0.314508549	1.41944e-05	AD	Control	232
ENSG00000088356|PDRG1	-0.077431997	1.19818e-05	AD	Control	232
ENSG00000088367|EPB41L1	-0.158034556	2.61572e-06	AD	Control	232
ENSG00000088808|PPP1R13B	0.041245729	1.62928e-05	AD	Control	232
ENSG00000166948|TGM6	0.123821111	2.69262e-05	AD	Control	232
ENSG00000188559|RALGAPA2	0.179682133	1.12921e-07	AD	Control	232
ENSG00000089009|RPL6	0.045460775	1.64746e-05	AD	Control	232
ENSG00000089048|ESF1	0.227234237	8.83845e-07	AD	Control	232
ENSG00000089060|SLC8B1	0.23216255	6.34293e-07	AD	Control	232
ENSG00000089063|TMEM230	0.056085842	1.58667e-05	AD	Control	232
ENSG00000089127|OAS1	0.438018725	8.29725e-10	AD	Control	232
ENSG00000089163|SIRT4	-0.197990219	3.60051e-06	AD	Control	232
ENSG00000089195|TRMT6	-0.118726921	6.32537e-06	AD	Control	232
ENSG00000249115|HAUS5	0.266865693	3.35508e-07	AD	Control	232
ENSG00000010256|UQCRC1	-0.355148543	4.57136e-08	AD	Control	232
ENSG00000089639|GMIP	0.196901903	5.08045e-06	AD	Control	232
ENSG00000089692|LAG3	0.266359878	1.01828e-05	AD	Control	232
ENSG00000089693|MLF2	-0.345333088	2.1842e-08	AD	Control	232
