Gene,AD vs Control: Parietal White Matter - Log2(fold change) - RIN Corrected,AD vs Control: White Matter - SVA P-value -  RIN corrected
MOB2,0.007,8.46E-01
MOB3A,0.003,8.92E-01
MOB3B,-0.244,2.14E-01
MOB3C,0.013,7.35E-01
MOB4,-0.006,7.67E-01
MOBP,-0.557,6.87E-02
MOCS1,-0.025,6.45E-01
MOCS2,-0.025,8.08E-01
MOCS3,0.000,5.52E-01
MOG,-0.647,5.83E-02
MOGS,0.016,9.66E-01
MOK,0.267,1.26E-01
MON1A,0.101,3.08E-01
MON1B,-0.091,1.43E-01
MON2,-0.085,2.14E-01
MORC2,0.056,5.19E-01
MORC2-AS1,0.092,7.28E-01
MORC3,-0.086,3.48E-01
MORC4,-0.025,4.20E-01
MORF4L1,-0.037,8.19E-01
MORF4L1P2,-0.039,6.95E-01
MORF4L1P3,0.034,4.23E-01
MORF4L1P5,0.033,4.62E-01
MORF4L2,0.039,5.45E-01
MORN1,0.154,2.08E-01
MORN2,0.022,5.61E-01
MORN3,0.006,9.38E-01
MORN4,0.076,4.82E-01
MORN5,0.038,3.35E-01
MOSPD1,-0.010,8.51E-01
MOSPD2,-0.453,7.16E-02
MOSPD3,-0.024,5.10E-01
MOV10,-0.010,5.10E-01
MOXD1,-0.149,8.62E-01
MPC1,-0.224,8.49E-02
MPC2,-0.051,9.27E-01
MPDU1,-0.026,8.34E-01
MPDZ,-0.035,4.65E-01
MPEG1,-0.018,6.96E-01
MPG,-0.009,9.42E-01
MPHOSPH10,-0.076,8.87E-02
MPHOSPH6,-0.075,6.66E-01
MPHOSPH8,0.036,6.27E-01
MPHOSPH9,0.008,9.81E-01
MPI,-0.060,2.77E-01
MPLKIP,-0.011,7.77E-01
MPND,0.154,1.68E-01
MPP1,-0.020,8.00E-01
MPP2,-0.069,3.42E-01
MPP3,-0.029,7.43E-01
MPP4,-0.019,7.76E-01
MPP5,-0.175,1.37E-01
MPP6,0.118,2.31E-01
MPP7,0.270,1.59E-01
MPPE1,-0.054,3.99E-01
MPPED1,0.313,2.20E-01
MPPED2,0.175,2.09E-01
MPRIP,0.068,3.39E-01
MPST,-0.157,3.39E-01
MPV17,0.007,6.10E-01
MPV17L,-0.107,2.01E-01
MPV17L2,-0.068,2.47E-01
MPZL1,-0.018,8.50E-01
MPZL2,-0.203,2.64E-01
MPZL3,-0.016,5.56E-01
MR1,-0.014,9.56E-01
MR1P1,-0.030,5.99E-01
MRAP2,-0.039,6.96E-01
MRAS,0.246,6.67E-02
MRC1,0.053,6.89E-01
MRC2,-0.218,9.67E-02
MRE11A,-0.050,2.74E-01
MREG,0.006,7.62E-01
MRFAP1,-0.073,1.01E-01
MRFAP1L1,-0.080,1.09E-01
MRGBP,0.028,8.97E-01
MRI1,-0.080,2.24E-01
MRM1,0.007,9.49E-01
MRO,-0.145,4.26E-01
MROH1,0.313,8.47E-02
MROH7,-0.046,5.28E-01
MROH7-TTC4,0.033,8.71E-01
MROH8,0.012,9.11E-01
MRPL1,0.029,8.32E-01
MRPL10,-0.006,9.94E-01
MRPL11,0.029,7.50E-01
MRPL12,0.073,6.14E-01
MRPL13,-0.040,9.34E-01
MRPL14,0.009,8.22E-01
MRPL15,-0.043,8.32E-01
MRPL15P1,-0.040,4.18E-01
MRPL16,0.013,4.52E-01
MRPL17,0.041,3.26E-01
MRPL18,0.003,8.98E-01
MRPL19,-0.135,8.40E-02
MRPL2,0.031,8.19E-01
MRPL20,-0.071,1.75E-01
MRPL21,-0.034,7.58E-01
MRPL22,0.027,3.38E-01
MRPL23,0.035,9.83E-01
MRPL24,-0.115,8.06E-02
MRPL27,-0.020,9.98E-01
MRPL28,0.046,8.60E-01
MRPL3,-0.054,4.30E-01
MRPL30,-0.070,2.10E-01
MRPL30P2,0.031,6.34E-01
MRPL32,-0.075,3.44E-01
MRPL33,-0.010,8.28E-01
MRPL34,0.054,3.17E-01
MRPL35,0.021,5.30E-01
MRPL35P3,0.152,2.14E-01
MRPL36,0.084,4.17E-01
MRPL37,-0.048,9.42E-01
MRPL38,0.031,8.91E-01
MRPL39,-0.005,9.02E-01
MRPL4,0.127,3.67E-01
MRPL40,-0.031,3.82E-01
MRPL41,0.143,5.09E-01
MRPL42,-0.238,4.67E-02
MRPL43,-0.029,5.03E-01
MRPL44,-0.060,2.75E-01
MRPL45,0.003,5.36E-01
MRPL45P2,-0.022,9.98E-01
MRPL46,0.018,7.75E-01
MRPL47,-0.012,8.80E-01
MRPL48,-0.032,7.34E-01
MRPL49,0.038,5.05E-01
MRPL50,-0.041,6.71E-01
MRPL51,-0.071,2.04E-01
MRPL52,0.027,7.08E-01
MRPL53,-0.016,6.13E-01
MRPL54,-0.031,2.93E-01
MRPL55,0.046,9.03E-01
MRPL57,0.018,3.48E-01
MRPL9,-0.007,6.82E-01
MRPS10,-0.075,1.66E-01
MRPS10P5,-0.026,8.28E-01
MRPS11,-0.015,7.50E-01
MRPS12,-0.047,7.19E-01
MRPS14,-0.059,1.81E-01
MRPS15,-0.014,6.96E-01
MRPS16,0.003,8.03E-01
MRPS17,0.003,8.21E-01
MRPS18A,0.010,9.21E-01
MRPS18B,-0.068,2.12E-01
MRPS18BP1,0.000,9.53E-01
MRPS18C,0.001,7.43E-01
MRPS2,0.056,5.27E-01
MRPS21,0.015,8.34E-01
MRPS22,-0.071,2.67E-01
MRPS23,-0.060,5.42E-01
MRPS24,0.083,1.85E-01
MRPS25,0.016,9.95E-01
MRPS26,0.068,5.79E-01
MRPS27,0.011,6.12E-01
MRPS28,-0.067,2.97E-01
MRPS30,0.023,2.88E-01
MRPS31,-0.042,5.72E-01
MRPS31P2,-0.022,8.41E-01
MRPS31P4,-0.094,1.32E-01
MRPS31P5,-0.187,1.43E-01
MRPS33,-0.063,6.02E-01
MRPS34,-0.005,6.27E-01
MRPS35,-0.097,3.64E-01
MRPS36,-0.043,9.62E-01
MRPS5,0.004,9.28E-01
MRPS6,0.267,1.35E-01
MRPS7,0.003,8.77E-01
MRPS9,-0.074,3.92E-01
MRRF,-0.046,3.86E-01
MRS2,0.035,3.47E-01
MRS2P2,-0.040,4.71E-01
MRTO4,0.043,7.37E-01
MRVI1,-0.146,6.76E-01
MS4A10,-0.024,6.66E-01
MS4A4A,0.021,9.81E-01
MS4A4E,0.083,8.43E-01
MS4A6A,-0.072,9.28E-01
MS4A7,-0.057,7.88E-01
MSANTD1,0.126,2.20E-01
MSANTD2,-0.056,3.98E-01
MSANTD3,-0.011,8.13E-01
MSANTD3-TMEFF1,-0.160,1.17E-01
MSANTD4,-0.066,2.70E-01
MSC,0.087,4.66E-01
MSH2,0.008,8.59E-01
MSH3,-0.062,1.18E-01
MSH6,-0.217,1.04E-01
MSI1,0.144,2.84E-01
MSI2,0.000,9.37E-01
MSL1,0.034,2.99E-01
MSL2,-0.015,9.54E-01
MSL3,0.038,6.42E-01
MSLNL,-0.017,4.32E-01
MSMO1,-0.059,7.38E-01
MSN,-0.080,4.59E-01
MSR1,0.015,8.76E-01
MSRA,0.264,1.20E-01
MSRB1,-0.036,6.42E-01
MSRB2,-0.013,8.97E-01
MSRB3,0.203,6.55E-02
MSS51,0.057,2.84E-01
MST1,0.066,6.38E-01
MSTO1,-0.072,1.76E-01
MSX1,0.105,4.70E-01
MT1A,0.059,7.18E-01
MT1E,-0.037,7.87E-01
MT1F,0.144,3.81E-01
MT1G,0.151,4.38E-01
MT1H,-0.061,9.74E-01
MT1L,0.161,3.46E-01
MT1M,-0.061,7.77E-01
MT1X,-0.163,8.56E-01
MT2A,0.021,8.12E-01
MT3,-0.034,8.38E-01
MTA1,0.016,7.38E-01
MTA2,-0.118,2.52E-01
MTA3,0.125,2.14E-01
MTAP,-0.009,8.95E-01
MTBP,0.042,8.04E-01
MTCH1,-0.040,7.09E-01
MTCH2,-0.112,1.57E-01
MTCL1,0.206,1.18E-01
MTCO1P1,-0.148,2.98E-01
MTCO1P2,-0.164,3.34E-01
MTDH,-0.099,2.41E-01
MTERF1,-0.047,5.28E-01
MTERF2,0.005,8.22E-01
MTERF3,-0.018,9.17E-01
MTERF4,-0.012,6.26E-01
MTF1,-0.033,3.59E-01
MTF2,-0.152,8.47E-02
MTFMT,-0.037,8.06E-01
MTFP1,-0.025,8.76E-01
MTFR1,-0.105,2.76E-01
MTFR1L,0.082,1.46E-01
MTG1,0.005,6.36E-01
MTG2,0.046,9.53E-01
MTHFD1,-0.015,9.84E-01
MTHFD1L,-0.096,2.83E-01
MTHFD2,-0.211,3.91E-01
MTHFD2L,-0.073,1.93E-01
MTHFR,0.079,2.60E-01
MTHFS,0.032,9.16E-01
MTHFSD,-0.040,4.64E-01
MTIF2,-0.058,2.19E-01
MTIF3,-0.047,7.10E-01
MTM1,-0.086,2.31E-01
MTMR1,0.023,3.12E-01
MTMR10,-0.105,4.44E-01
MTMR11,0.014,9.93E-01
MTMR12,0.066,1.67E-01
MTMR14,-0.033,1.81E-01
MTMR2,-0.087,2.29E-01
MTMR3,0.023,6.72E-01
MTMR4,-0.034,8.32E-01
MTMR6,-0.089,2.96E-01
MTMR7,-0.057,2.35E-01
MTMR9,-0.034,9.58E-01
MTMR9LP,-0.066,2.93E-01
MTND1P20,-0.019,9.18E-01
MTND1P21,0.138,7.05E-01
MTND1P34,0.011,7.84E-01
MTND1P8,-0.115,3.55E-01
MTND2P12,0.009,7.02E-01
MTND2P15,0.090,9.89E-02
MTND2P28,0.106,7.97E-01
MTND2P29,0.210,9.47E-02
MTND3P6,-0.008,4.11E-01
MTND4P16,-0.058,8.77E-01
MTND4P19,-0.028,9.21E-01
MTND5P16,-0.092,5.02E-01
MTND5P2,-0.033,9.20E-01
MTND6P21,-0.032,7.02E-01
MTO1,-0.001,9.59E-01
MTOR,0.056,2.03E-01
MTPAP,-0.037,8.13E-01
MTPN,-0.001,6.32E-01
MTR,-0.086,1.66E-01
MTRF1,0.052,3.33E-01
MTRF1L,-0.070,5.52E-01
MTRNR2L4,-0.116,1.86E-01
MTRNR2L5,-0.044,6.59E-01
MTRNR2L9,0.145,3.60E-01
MTRR,-0.087,2.49E-01
MTSS1,-0.117,1.44E-01
MTSS1L,0.068,8.48E-01
MTURN,-0.306,7.62E-02
MTUS1,-0.279,2.02E-01
MTUS2,0.555,6.55E-02
MTX1,0.056,8.97E-01
MTX1P1,0.082,2.70E-01
MTX2,-0.019,8.92E-01
MTX3,-0.037,9.84E-01
MUC20,0.036,9.73E-01
MUL1,-0.011,6.89E-01
MUM1,0.007,7.24E-01
MUM1L1,-0.001,7.42E-01
MURC,-0.044,5.06E-01
MUS81,-0.033,5.02E-01
MUSTN1,0.030,9.74E-01
MUT,-0.119,2.28E-01
MUTYH,-0.021,4.87E-01
MVB12A,0.027,8.39E-01
MVB12B,-0.158,2.78E-01
MVD,0.076,7.60E-01
MVK,-0.247,1.00E-01
MVP,-0.192,1.94E-01
MX1,0.143,5.72E-01
MXD1,-0.006,8.51E-01
MXD4,0.178,9.79E-02
MXI1,-0.142,3.53E-01
MXRA7,0.004,9.90E-01
MXRA8,-0.003,4.50E-01
MYADM,0.089,3.55E-01
MYBBP1A,0.052,7.99E-01
MYBL1,-0.200,1.07E-01
MYBPC1,0.019,4.12E-01
MYC,0.019,7.83E-01
MYCBP,-0.113,5.62E-01
MYCBP2,0.025,5.33E-01
MYCN,-0.242,2.21E-01
MYCT1,0.104,5.81E-01
MYD88,-0.081,2.76E-01
MYDGF,-0.081,3.92E-01
MYEF2,-0.026,8.80E-01
MYEOV2,-0.031,9.98E-01
MYH10,0.184,2.79E-01
MYH11,0.055,6.71E-01
MYH14,-0.110,1.45E-01
MYH15,-0.090,2.99E-01
MYH7B,-0.215,8.57E-02
MYH9,0.034,8.00E-01
MYL12A,-0.065,5.19E-01
MYL12B,-0.018,9.15E-01
MYL3,-0.160,1.34E-01
MYL5,-0.128,1.88E-01
MYL6,-0.083,2.85E-01
MYL6B,0.110,3.85E-01
MYL6P4,-0.042,9.49E-01
MYL9,-0.038,6.12E-01
MYLIP,-0.071,3.97E-01
MYLK,-0.337,1.45E-01
MYLK-AS1,0.057,6.38E-01
MYLK2,-0.023,6.19E-01
MYLK3,0.033,5.59E-01
MYNN,-0.068,1.88E-01
MYO10,-0.037,8.83E-01
MYO15B,-0.268,6.68E-02
MYO16,0.129,2.60E-01
MYO18A,-0.116,1.55E-01
MYO19,-0.104,6.98E-02
MYO1B,0.097,6.20E-01
MYO1C,0.115,3.95E-01
MYO1D,-0.448,7.22E-02
MYO1E,-0.421,7.87E-02
MYO1F,-0.156,2.24E-01
MYO5A,0.038,5.15E-01
MYO5B,-0.045,6.16E-01
MYO5C,0.050,8.36E-01
MYO6,-0.167,1.62E-01
MYO7A,0.112,3.27E-01
MYO9A,0.033,4.50E-01
MYO9B,-0.173,1.90E-01
MYOF,-0.022,6.31E-01
MYOM1,-0.049,6.68E-01
MYOM2,0.157,2.25E-01
MYOT,-0.246,1.60E-01
MYPOP,0.287,7.00E-02
MYRF,-0.414,9.18E-02
MYRIP,0.240,1.22E-01
MYSM1,-0.024,6.04E-01
MYT1,-0.101,2.20E-01
MYT1L,0.322,2.30E-01
MYT1L-AS1,0.232,8.20E-02
MZF1,0.058,5.60E-01
MZT1,-0.035,9.59E-01
MZT2A,0.043,8.53E-01
MZT2B,0.055,7.30E-01
N4BP1,0.008,7.52E-01
N4BP2,0.120,1.71E-01
N4BP2L1,-0.019,8.92E-01
N4BP2L2,-0.114,1.17E-01
N4BP2L2-IT2,-0.051,8.52E-01
N4BP3,0.278,8.12E-02
N6AMT1,-0.107,3.05E-01
N6AMT2,-0.019,7.74E-01
NAA10,0.019,9.18E-01
NAA15,-0.025,6.32E-01
NAA16,0.046,9.82E-01
NAA20,-0.029,7.98E-01
NAA25,-0.123,1.03E-01
NAA30,-0.020,8.36E-01
NAA35,-0.016,4.08E-01
NAA38,0.033,6.88E-01
NAA40,-0.024,5.88E-01
NAA50,-0.040,9.99E-01
NAA60,0.037,9.42E-01
NAAA,-0.002,7.45E-01
NAALAD2,0.252,1.93E-01
NAALADL2,-0.208,8.40E-02
NAB1,-0.045,4.84E-01
NAB2,0.264,8.61E-02
NABP1,-0.021,9.29E-01
NABP2,-0.024,7.66E-01
NACA,-0.077,2.60E-01
NACAD,-0.125,3.49E-01
NACC1,0.138,1.79E-01
NACC2,0.069,6.80E-01
NADK,0.045,7.02E-01
NADK2,-0.044,9.43E-01
NADSYN1,-0.157,1.61E-01
NAE1,-0.063,4.66E-01
NAF1,0.035,3.22E-01
NAGA,-0.064,4.96E-01
NAGK,-0.017,7.25E-01
NAGLU,-0.131,2.82E-01
NAGPA,0.308,1.33E-01
NAGPA-AS1,0.104,5.15E-01
NAIF1,-0.036,5.64E-01
NAIP,-0.252,1.40E-01
NALCN,-0.076,1.17E-01
NAMPT,-0.122,5.31E-01
NAMPTP1,0.017,7.79E-01
NANOGP4,-0.145,3.24E-01
NANOGP5,0.012,9.74E-01
NANOS1,-0.019,8.24E-01
NANOS3,0.117,3.52E-01
NANS,0.011,8.89E-01
NAP1L1,-0.114,1.93E-01
NAP1L2,0.083,5.47E-01
NAP1L3,-0.009,7.21E-01
NAP1L4,-0.048,4.45E-01
NAP1L5,-0.140,9.61E-01
NAPA,0.087,6.05E-01
NAPB,-0.017,7.02E-01
NAPEPLD,-0.122,9.78E-02
NAPG,-0.059,8.46E-01
NAPRT,0.099,4.57E-01
NAPSB,-0.275,4.84E-01
NARF,0.020,7.01E-01
NARFL,0.053,7.53E-01
NARS,-0.026,9.27E-01
NARS2,0.057,2.94E-01
NASP,-0.183,2.27E-01
NAT10,0.038,6.02E-01
NAT14,0.209,1.19E-01
NAT6,0.019,7.77E-01
NAT8,0.061,4.42E-01
NAT8L,0.234,1.31E-01
NAT9,0.008,8.09E-01
NATD1,0.000,9.52E-01
NAV1,-0.153,1.68E-01
NAV2,0.071,6.49E-01
NAV2-AS5,-0.038,5.53E-01
NAV3,0.020,8.13E-01
NBAS,0.015,6.91E-01
NBEA,0.153,3.04E-01
NBEAL1,-0.037,6.90E-01
NBEAL2,0.089,3.54E-01
NBEAP1,0.152,4.76E-01
NBEAP4,0.021,6.22E-01
NBL1,0.334,1.61E-01
NBN,-0.017,4.56E-01
NBPF1,-0.062,5.85E-01
NBPF10,0.078,9.91E-01
NBPF11,0.009,5.30E-01
NBPF12,-0.158,2.26E-01
NBPF14,0.091,6.91E-01
NBPF15,0.086,2.30E-01
NBPF17P,0.016,5.40E-01
NBPF19,0.055,4.61E-01
NBPF20,0.052,4.27E-01
NBPF21P,-0.003,9.89E-01
NBPF25P,0.094,4.86E-01
NBPF26,0.096,2.63E-01
NBPF2P,0.078,2.96E-01
NBPF3,0.005,8.40E-01
NBPF8,0.094,1.11E-01
NBPF9,0.026,7.35E-01
NBR1,-0.134,9.93E-02
NBR2,-0.091,2.96E-01
NCALD,0.082,5.95E-01
NCAM1,-0.228,1.07E-01
NCAM2,-0.141,1.93E-01
NCAN,0.054,4.30E-01
NCAPD2,-0.207,1.26E-01
NCAPD3,-0.002,8.42E-01
NCAPG2,-0.074,1.29E-01
NCAPH2,0.040,8.81E-01
NCBP1,-0.029,7.02E-01
NCBP2,-0.029,9.21E-01
NCBP2-AS2,0.032,6.36E-01
NCDN,0.556,9.14E-02
NCEH1,0.318,1.09E-01
NCF1,-0.178,3.45E-01
NCF2,-0.170,3.53E-01
NCF4,-0.113,4.90E-01
NCK1,-0.051,2.55E-01
NCK1-AS1,-0.092,4.03E-01
NCK2,0.166,1.33E-01
NCKAP1,0.009,5.75E-01
NCKAP1L,-0.143,5.90E-01
NCKAP5,-0.250,1.90E-01
NCKAP5L,-0.012,7.82E-01
NCKIPSD,0.177,1.43E-01
NCL,-0.091,2.96E-01
NCLN,0.106,6.99E-01
NCLP1,0.041,5.54E-01
NCOA1,0.078,1.23E-01
NCOA2,0.008,5.29E-01
NCOA3,0.008,8.22E-01
NCOA4,-0.095,1.80E-01
NCOA5,0.074,5.49E-01
NCOA6,-0.047,6.32E-01
NCOA7,-0.061,6.10E-01
NCOR1,-0.003,9.10E-01
NCOR1P2,-0.021,8.45E-01
NCOR1P3,-0.020,8.01E-01
NCOR2,0.100,6.50E-01
NCR3LG1,0.294,1.67E-01
NCRUPAR,-0.052,4.21E-01
NCS1,0.662,8.21E-02
NCSTN,-0.079,3.56E-01
ND1,-0.007,9.72E-01
ND2,-0.127,5.93E-01
ND3,0.319,2.49E-01
ND4,-0.072,7.89E-01
ND4L,-0.039,5.14E-01
ND5,-0.037,6.05E-01
ND6,-0.008,9.95E-01
NDC1,-0.087,1.57E-01
NDE1,-0.350,1.10E-01
NDEL1,-0.011,8.71E-01
NDFIP1,-0.131,8.56E-01
NDFIP2,-0.104,6.64E-01
NDN,-0.033,9.41E-01
NDNF,0.066,5.95E-01
NDNL2,0.007,6.91E-01
NDOR1,0.014,9.33E-01
NDP,0.018,4.09E-01
NDRG1,-0.320,1.46E-01
NDRG2,-0.133,2.76E-01
NDRG3,-0.041,8.14E-01
NDRG4,0.226,3.25E-01
NDST1,-0.128,1.57E-01
NDST2,0.082,3.02E-01
NDST3,0.234,2.55E-01
NDUFA1,-0.039,8.31E-01
NDUFA10,-0.066,2.27E-01
NDUFA11,-0.004,9.94E-01
NDUFA12,-0.013,6.76E-01
NDUFA13,-0.092,3.87E-01
NDUFA2,-0.044,7.60E-01
NDUFA3,-0.040,8.49E-01
NDUFA3P1,0.017,9.32E-01
NDUFA4,0.042,6.08E-01
NDUFA4L2,-0.011,8.41E-01
NDUFA5,-0.229,4.13E-01
NDUFA5P3,-0.011,9.15E-01
NDUFA6,0.027,4.47E-01
NDUFA6-AS1,0.213,1.10E-01
NDUFA7,-0.185,1.43E-01
NDUFA8,-0.054,8.85E-01
NDUFA9,-0.048,7.02E-01
NDUFA9P1,0.075,5.43E-01
NDUFAB1,0.057,4.58E-01
NDUFAF1,-0.091,2.24E-01
NDUFAF2,0.022,5.58E-01
NDUFAF3,-0.071,2.19E-01
NDUFAF4,0.045,4.83E-01
NDUFAF4P1,0.042,6.65E-01
NDUFAF4P3,0.062,5.86E-01
NDUFAF4P4,-0.022,7.52E-01
NDUFAF5,-0.011,9.84E-01
NDUFAF6,-0.060,8.08E-01
NDUFAF7,0.038,4.13E-01
NDUFB1,-0.040,7.69E-01
NDUFB10,-0.015,8.69E-01
NDUFB11,-0.011,7.91E-01
NDUFB2,-0.005,8.07E-01
NDUFB3,-0.059,8.23E-01
NDUFB4,-0.003,5.19E-01
NDUFB4P2,0.143,2.24E-01
NDUFB5,-0.078,7.49E-01
NDUFB6,-0.085,4.46E-01
NDUFB7,0.098,7.91E-01
NDUFB8,-0.019,9.41E-01
NDUFB8P1,0.144,2.73E-01
NDUFB8P3,0.024,8.83E-01
NDUFB9,0.002,9.10E-01
NDUFC1,-0.036,9.78E-01
NDUFC2,-0.041,7.11E-01
NDUFS1,-0.023,9.98E-01
NDUFS2,-0.088,3.14E-01
NDUFS3,0.032,6.20E-01
NDUFS4,-0.042,4.35E-01
NDUFS5,0.006,7.93E-01
NDUFS5P1,-0.189,2.14E-01
NDUFS6,-0.054,3.71E-01
NDUFS7,0.018,8.59E-01
NDUFS8,0.050,6.19E-01
NDUFV1,-0.045,4.32E-01
NDUFV2,-0.024,7.79E-01
NDUFV3,-0.083,8.54E-02
NEAT1,0.030,9.05E-01
NEBL,0.026,3.79E-01
NECAB1,-0.320,2.53E-01
NECAB2,0.293,2.07E-01
NECAB3,0.188,2.14E-01
NECAP1,-0.082,9.30E-01
NECAP1P1,-0.040,4.51E-01
NECAP2,-0.047,4.86E-01
NEDD1,-0.097,3.81E-01
NEDD4,-0.009,9.31E-01
NEDD4L,0.358,9.30E-02
NEDD8,-0.008,9.20E-01
NEDD8-MDP1,-0.235,4.57E-01
NEDD9,0.049,5.71E-01
NEFH,0.689,1.09E-01
NEFL,0.240,4.41E-01
NEFM,0.584,1.43E-01
NEGR1,0.096,5.19E-01
NEIL1,0.200,5.92E-02
NEIL2,-0.020,8.93E-01
NEK1,-0.056,6.14E-01
NEK10,0.162,2.91E-01
NEK11,0.087,1.11E-01
NEK2,-0.023,4.69E-01
NEK3,-0.317,1.03E-01
NEK4,0.096,1.48E-01
NEK5,-0.021,4.26E-01
NEK6,0.127,2.58E-01
NEK7,-0.274,7.52E-02
NEK8,-0.093,8.61E-02
NEK9,-0.070,3.71E-01
NELFA,0.147,3.04E-01
NELFB,0.102,4.47E-01
NELFCD,-0.065,1.51E-01
NELFE,-0.068,2.76E-01
NELL1,0.145,4.74E-01
NELL2,0.106,5.61E-01
NEMF,-0.060,2.37E-01
NENF,-0.207,1.06E-01
NEO1,-0.097,4.94E-01
NES,-0.043,2.99E-01
NET1,-0.133,1.02E-01
NETO1,0.088,5.40E-01
NETO2,0.111,2.99E-01
NEU1,0.057,3.22E-01
NEU3,-0.044,5.05E-01
NEURL1,0.664,6.98E-02
NEURL1B,-0.068,4.50E-01
NEURL2,0.065,5.06E-01
NEURL4,0.150,1.21E-01
NEUROD1,0.208,1.13E-01
NEUROD2,0.498,6.68E-02
NEUROD6,0.003,6.44E-01
NEXN,0.040,9.47E-01
NEXN-AS1,-0.196,2.72E-01
NF1,-0.043,5.11E-01
NF2,0.254,4.79E-02
NFASC,-0.148,1.59E-01
NFAT5,0.119,1.16E-01
NFATC1,-0.082,2.99E-01
NFATC2,0.048,7.03E-01
NFATC2IP,-0.045,2.88E-01
NFATC3,-0.018,7.57E-01
NFATC4,0.118,3.17E-01
NFE2L1,0.046,5.75E-01
NFE2L2,-0.115,4.46E-01
NFE2L3,0.007,9.23E-01
NFE2L3P2,-0.005,8.41E-01
NFIA,-0.079,6.40E-01
NFIB,-0.007,9.01E-01
NFIC,0.086,4.44E-01
NFIL3,0.064,6.24E-01
NFIX,0.024,9.30E-01
NFKB1,-0.053,4.01E-01
NFKB2,-0.036,7.43E-01
NFKBIA,-0.085,8.95E-01
NFKBIB,-0.096,2.48E-01
NFKBID,0.044,3.85E-01
NFKBIE,0.053,9.84E-01
NFKBIL1,-0.042,4.80E-01
NFKBIZ,-0.039,6.69E-01
NFRKB,0.058,2.07E-01
NFS1,-0.062,6.55E-01
NFU1,-0.028,6.30E-01
NFX1,-0.037,1.82E-01
NFXL1,0.031,2.55E-01
NFYA,-0.105,2.34E-01
NFYB,-0.147,8.51E-02
NFYC,0.097,2.56E-01
NFYC-AS1,-0.063,3.53E-01
NGB,0.475,5.67E-02
NGDN,-0.087,1.22E-01
NGEF,0.454,1.48E-01
NGFR,-0.190,5.00E-01
NGFRAP1,0.008,8.24E-01
NGLY1,0.086,1.43E-01
NGRN,0.099,3.55E-01
NHEJ1,0.090,3.28E-01
NHLH2,-0.126,2.57E-01
NHLRC1,-0.026,7.65E-01
NHLRC2,-0.073,3.27E-01
NHLRC3,-0.125,1.61E-01
NHP2,-0.011,8.96E-01
NHP2L1,-0.048,9.26E-01
NHP2P1,0.038,1.83E-01
NHS,0.246,7.23E-02
NHSL1,0.120,3.54E-01
NHSL2,0.104,4.45E-01
NICN1,0.051,4.22E-01
NID1,-0.153,1.41E-01
NID2,-0.065,2.12E-01
NIF3L1,-0.044,5.35E-01
NIFK,-0.064,3.74E-01
NIFK-AS1,-0.187,9.71E-02
NIFKP4,-0.009,8.14E-01
NIFKP5,0.010,9.30E-01
NIM1K,0.072,3.91E-01
NIN,0.074,1.88E-01
NINJ1,0.006,8.56E-01
NINJ2,-0.332,1.57E-01
NINL,-0.052,7.43E-01
NIP7,-0.015,5.58E-01
NIP7P3,-0.151,2.00E-01
NIPA1,-0.138,2.00E-01
NIPA2,-0.013,9.40E-01
NIPAL2,0.188,3.51E-01
NIPAL3,-0.207,9.60E-02
NIPAL4,-0.190,2.62E-01
NIPBL,-0.018,7.36E-01
NIPBL-AS1,-0.224,5.61E-02
NIPSNAP1,0.058,4.64E-01
NIPSNAP3A,-0.148,2.59E-01
NIPSNAP3B,0.047,5.69E-01
NISCH,0.234,7.27E-02
NIT1,-0.015,5.69E-01
NIT2,-0.011,9.73E-01
NKAIN1,0.026,8.72E-01
NKAIN2,-0.231,1.32E-01
NKAIN3,-0.144,3.82E-01
NKAIN4,-0.277,2.18E-01
NKAP,-0.089,1.69E-01
NKAPL,0.057,3.86E-01
NKAPP1,-0.036,7.05E-01
NKD1,-0.146,1.81E-01
NKIRAS1,0.093,3.20E-01
NKIRAS2,-0.023,2.50E-01
NKRF,-0.009,9.01E-01
NKTR,-0.119,1.65E-01
NKX2-2,-0.234,1.61E-01
NKX6-2,-0.287,2.81E-01
NLE1,0.016,8.98E-01
NLGN1,0.060,5.03E-01
NLGN1-AS1,0.004,8.96E-01
NLGN2,0.147,1.22E-01
NLGN3,-0.048,4.63E-01
NLGN4X,0.138,2.63E-01
NLGN4Y,-0.147,7.31E-01
NLK,-0.020,9.99E-01
NLN,-0.086,2.86E-01
NLRC3,0.043,5.48E-01
NLRC5,-0.057,6.03E-01
NLRP1,-0.065,3.10E-01
NLRP12,-0.040,4.58E-01
NLRP2,0.085,6.68E-01
NLRP3,0.025,7.00E-01
NLRX1,0.018,9.40E-01
NMB,-0.107,5.29E-01
NMD3,-0.085,2.61E-01
NME1,0.045,6.20E-01
NME1-NME2,0.142,7.30E-01
NME2,-0.012,9.02E-01
NME3,0.001,8.83E-01
NME4,0.078,3.21E-01
NME5,0.143,4.79E-01
NME6,0.006,7.56E-01
NME7,0.054,4.64E-01
NME9,-0.023,9.94E-01
NMI,-0.091,2.94E-01
NMNAT1,-0.038,5.67E-01
NMNAT2,0.393,2.52E-01
NMNAT3,0.050,5.20E-01
NMRAL1,-0.121,1.09E-01
NMRK1,0.063,3.75E-01
NMT1,0.104,1.59E-01
NMT2,0.062,2.66E-01
NMUR2,-0.129,7.26E-01
