gene_name	Marques-Coelho_MSSB_BA36	Marques-Coelho_MSSB_BA22	Felsky_et_al	Li_et_al	Das_et_al	Marques-Coelho_MAYO	King_et_al	Piras_et_al	Cho_et_al	upregulated_count	downregulated_count
ANKMY2	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ANKRD11	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
ANKRD13A	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	0	1
ANKRD13C	missing	missing	downregulated	missing	missing	missing	missing	downregulated	missing	0	2
ANKRD18A	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ANKRD18B	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ANKRD18DP	downregulated	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	3
ANKRD18EP	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ANKRD19P	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	2
ANKRD2	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ANKRD20A10P	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ANKRD20A19P	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ANKRD20A4P	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ANKRD22	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ANKRD23	missing	missing	missing	missing	upregulated	missing	missing	upregulated	missing	2	0
ANKRD24	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
ANKRD28	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	0	1
ANKRD30B	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ANKRD30BL	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ANKRD30BP2	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ANKRD31	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ANKRD33	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ANKRD33BP10	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ANKRD34A	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ANKRD34C	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
ANKRD36C	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ANKRD39	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ANKRD40	upregulated	missing	missing	missing	missing	missing	missing	upregulated	upregulated	3	0
ANKRD40CL	missing	missing	missing	downregulated	upregulated	missing	missing	missing	missing	1	1
ANKRD45	missing	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	3	0
ANKRD50	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ANKRD53	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ANKRD55	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ANKRD6	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ANKRD66	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ANKS1A	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
ANKS1B	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
ANKS6	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
ANLN	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	upregulated	4	0
ANO1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ANO2	upregulated	upregulated	upregulated	missing	missing	upregulated	missing	missing	missing	4	0
ANO3	downregulated	downregulated	missing	missing	missing	missing	missing	downregulated	downregulated	0	4
ANO4	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	0	2
ANO6	upregulated	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	4	0
ANO9	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ANP32B	upregulated	missing	missing	missing	missing	downregulated	missing	upregulated	upregulated	3	1
ANPEP	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ANTXR1	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
ANTXR2	upregulated	missing	upregulated	missing	missing	upregulated	missing	upregulated	upregulated	5	0
ANXA1	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
ANXA13	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ANXA2	upregulated	missing	missing	missing	missing	upregulated	missing	upregulated	upregulated	4	0
ANXA2P3	downregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	0	2
ANXA2R-OT1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ANXA3	upregulated	upregulated	missing	missing	missing	upregulated	missing	missing	missing	3	0
ANXA4	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ANXA5	upregulated	missing	upregulated	missing	missing	missing	missing	upregulated	upregulated	4	0
ANXA6	downregulated	missing	missing	missing	downregulated	missing	missing	missing	downregulated	0	3
ANXA7	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
ANXA9	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
AOAH	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
AOC1	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
AOX1	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	2	0
AP1AR-DT	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
AP1G2-AS1	missing	missing	missing	upregulated	missing	missing	missing	missing	downregulated	1	1
AP1S1	downregulated	missing	missing	missing	downregulated	missing	missing	missing	downregulated	0	3
AP2A1	missing	missing	missing	missing	downregulated	missing	missing	downregulated	missing	0	2
AP2B1	missing	missing	missing	missing	downregulated	missing	missing	downregulated	missing	0	2
AP2M1	downregulated	missing	missing	missing	downregulated	missing	missing	missing	downregulated	0	3
AP2S1	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
AP3B2	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
AP3D1	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
AP4E1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
AP4S1	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
AP5B1	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
APBA2	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
APBA3	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
APBB1IP	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
APBB3	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
APCDD1	missing	missing	missing	downregulated	missing	upregulated	missing	missing	upregulated	2	1
APEX1	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
APLN	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	2	0
APLNR	upregulated	upregulated	missing	missing	missing	upregulated	missing	upregulated	missing	4	0
APLP1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
APLP2	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
APOB	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	2	0
APOBEC3A	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
APOBEC3C	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
APOBEC3F	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
APOBEC3G	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
APOBEC4	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
APOBR	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
APOC1	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	missing	3	0
APOC2	missing	missing	missing	missing	missing	downregulated	missing	missing	upregulated	1	1
APOC4	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
APOD	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	missing	3	0
APOL1	upregulated	upregulated	missing	missing	missing	upregulated	missing	upregulated	missing	4	0
APOL2	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	1	0
APOL3	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	2	0
APOL4	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
APOL6	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
APOLD1	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	2	0
APOM	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
APP	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
APPL2	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
APTR	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
AQP1	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
AQP3	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
AQP4	upregulated	missing	upregulated	missing	missing	upregulated	missing	missing	missing	3	0
AQP5	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
AQP6	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
AQP9	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
AR	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
ARAP1-AS2	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
ARAP2	missing	missing	missing	downregulated	missing	missing	downregulated	missing	upregulated	1	2
ARC	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	0	2
ARCN1	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
ARF1	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
ARF3	downregulated	missing	missing	missing	downregulated	missing	missing	downregulated	downregulated	0	4
ARF4P2	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ARF5	downregulated	missing	downregulated	missing	downregulated	missing	upregulated	missing	downregulated	1	4
ARFGAP1	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
ARFGAP3	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ARFGEF2	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ARFGEF3	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ARG1	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ARG2	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	1	0
ARGFXP1	upregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	1	1
ARGFXP2	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ARHGAP10	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
ARHGAP11A	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ARHGAP15	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ARHGAP17	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ARHGAP19	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ARHGAP20	downregulated	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	3
ARHGAP21	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	0	1
ARHGAP22	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ARHGAP23	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ARHGAP23P1	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ARHGAP27	upregulated	missing	missing	upregulated	missing	missing	missing	missing	missing	2	0
ARHGAP29	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ARHGAP30	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
ARHGAP31	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
ARHGAP31-AS1	missing	missing	missing	downregulated	missing	missing	missing	missing	upregulated	1	1
ARHGAP33	missing	missing	downregulated	missing	upregulated	missing	missing	missing	missing	1	1
ARHGAP35	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ARHGAP39	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
ARHGAP42	upregulated	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	4	0
ARHGAP44	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ARHGAP45	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ARHGAP5	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	2	0
ARHGAP9	missing	missing	missing	upregulated	missing	missing	missing	missing	upregulated	2	0
ARHGDIA	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
