gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
GABARAPL1,ENSG00000139112,GABARAPL1,False,Temporal Lobe,Piras_et_al,1.9
ARK2C,ENSG00000141622,ARK2C,False,Temporal Lobe,Piras_et_al,1.9
GPRASP2,ENSG00000158301,GPRASP2,False,Temporal Lobe,Piras_et_al,1.9
RAB3A,ENSG00000105649,RAB3A,False,Temporal Lobe,Piras_et_al,1.9
PNMA8A,ENSG00000182013,PNMA8A,False,Temporal Lobe,Piras_et_al,1.9
FGF12,ENSG00000114279,FGF12,False,Temporal Lobe,Piras_et_al,1.9
UNC13A,ENSG00000130477,UNC13A,False,Temporal Lobe,Piras_et_al,1.9
ZRANB3,ENSG00000121988,ZRANB3,False,Temporal Lobe,Piras_et_al,1.9
CDH9,ENSG00000113100,CDH9,False,Temporal Lobe,Piras_et_al,1.9
FSTL5,ENSG00000168843,FSTL5,False,Temporal Lobe,Piras_et_al,1.9
STXBP5,ENSG00000164506,STXBP5,False,Temporal Lobe,Piras_et_al,1.9
STUM,ENSG00000203685,STUM,False,Temporal Lobe,Piras_et_al,1.9
NETO1,ENSG00000166342,NETO1,False,Temporal Lobe,Piras_et_al,1.9
COG1,ENSG00000166685,COG1,False,Temporal Lobe,Piras_et_al,1.9
PITPNB,ENSG00000180957,PITPNB,False,Temporal Lobe,Piras_et_al,1.9
PRKCE,ENSG00000171132,PRKCE,False,Temporal Lobe,Piras_et_al,1.9
TMEM151B,ENSG00000178233,TMEM151B,False,Temporal Lobe,Piras_et_al,1.9
CDH13,ENSG00000140945,CDH13,False,Temporal Lobe,Piras_et_al,1.9
YPEL1,ENSG00000100027,YPEL1,False,Temporal Lobe,Piras_et_al,1.9
TUBA4A,ENSG00000127824,TUBA4A,False,Temporal Lobe,Piras_et_al,1.9
ATP6V1G2,ENSG00000226850,ATP6V1G2,False,Temporal Lobe,Piras_et_al,1.9
PLCB1,ENSG00000182621,PLCB1,False,Temporal Lobe,Piras_et_al,1.9
KIT,ENSG00000157404,KIT,False,Temporal Lobe,Piras_et_al,1.9
CFAP263,ENSG00000103021,CFAP263,False,Temporal Lobe,Piras_et_al,1.9
FTO,ENSG00000140718,FTO,False,Temporal Lobe,Piras_et_al,1.9
SUSD1,ENSG00000106868,SUSD1,False,Temporal Lobe,Piras_et_al,1.9
SLC39A10,ENSG00000196950,SLC39A10,False,Temporal Lobe,Piras_et_al,1.9
SCN2A,ENSG00000136531,SCN2A,False,Temporal Lobe,Piras_et_al,1.9
FAM161B,ENSG00000156050,FAM161B,False,Temporal Lobe,Piras_et_al,1.9
TBC1D9,ENSG00000109436,TBC1D9,False,Temporal Lobe,Piras_et_al,1.9
MDGA2,ENSG00000139915,MDGA2,False,Temporal Lobe,Piras_et_al,1.9
KCNAB1,ENSG00000169282,KCNAB1,False,Temporal Lobe,Piras_et_al,1.9
PLCL2,ENSG00000154822,PLCL2,False,Temporal Lobe,Piras_et_al,1.9
NRIP3,ENSG00000175352,NRIP3,False,Temporal Lobe,Piras_et_al,1.9
GVQW3,ENSG00000179240,GVQW3,False,Temporal Lobe,Piras_et_al,1.9
SYT11,ENSG00000132718,SYT11,False,Temporal Lobe,Piras_et_al,1.9
