gene_name	Annese_et_al	Marques-Coelho_MSSB_BA36	Marques-Coelho_MSSB_BA22	Felsky_et_al	Marques-Coelho_MSSB_BA44	Li_et_al	Magistry_et_al	Das_et_al	Panitch_et_al	Luo_et_al	van_Rooij_et_al	Fischer_et_al	Marques-Coelho_MAYO	Guennewig_et_al	King_et_al	Marques-Coelho_MSSB_BA10	Marques-Coelho_ROSMAP	Piras_et_al	Cho_et_al	upregulated_count	downregulated_count
ADARB2	missing	upregulated	upregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	3	1
ADARB2-AS1	upregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	1
ADAT1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ADAT2	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	3
ADAT3	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	2	0
ADCK1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ADCK5	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	1	1
ADCY1	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	4
ADCY10P1	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADCY2	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
ADCY4	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	2	0
ADCY7	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	3	0
ADCY8	missing	missing	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	3	0
ADCY9	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	1
ADCYAP1	missing	downregulated	downregulated	downregulated	downregulated	missing	missing	missing	downregulated	missing	downregulated	downregulated	downregulated	downregulated	missing	downregulated	downregulated	missing	downregulated	0	12
ADCYAP1R1	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	4	0
ADD2	downregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	4
ADD3	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ADGRA1	missing	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	4
ADGRA1-AS1	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	1	2
ADGRA3	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
ADGRA3P1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ADGRB1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	upregulated	missing	missing	missing	downregulated	1	2
ADGRB2	downregulated	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	downregulated	downregulated	missing	missing	missing	missing	missing	missing	downregulated	0	6
ADGRB3	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	0	2
ADGRB3-DT	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ADGRD1	upregulated	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	3	0
ADGRE1	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADGRE2	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADGRE5	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADGRF2P	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ADGRF3	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADGRF5	missing	upregulated	missing	missing	missing	downregulated	missing	missing	missing	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	3	1
ADGRG1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	1	0
ADGRG2	downregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	2	1
ADGRG3	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	2	0
ADGRG5	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ADGRG6	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
ADGRL3	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ADGRL4	missing	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	4	0
ADGRV1	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADH1B	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	4	0
ADI1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ADIPOR2	upregulated	upregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	upregulated	upregulated	6	0
ADIRF	missing	missing	upregulated	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	1
ADISSP	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	1	1
ADM	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ADM-DT	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	2	0
ADM5	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ADNP-AS1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ADORA2A	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADORA2A-AS1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADORA2B	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	upregulated	2	0
ADORA2BP1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	1	0
ADORA3	upregulated	upregulated	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	4	0
ADPRH	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ADPRHL1	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	1	1
ADPRM	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADPRS	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADRA1A	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
ADRA1B	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	4
ADRA1D	downregulated	missing	missing	missing	downregulated	missing	downregulated	missing	downregulated	missing	downregulated	missing	downregulated	downregulated	missing	missing	downregulated	missing	downregulated	0	9
ADRA2A	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	1
ADRA2B	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	2	0
ADRA2C	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADRB1	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
