Gene,AD vs Control: Temporal Cortex - Log2(fold change) - RIN Corrected,AD vs Control: Temporal Cortex - SVA P-value -  RIN corrected,,,
RNU5E-6P,-0.149,5.11E-01,,,
RNU6-2,-0.218,5.27E-01,,,
RNU6-33P,0.192,7.63E-01,,,
RNU6-36P,0.279,6.13E-01,,,
RNU6-6P,-0.218,5.27E-01,,,
RNU6-9,-0.218,5.27E-01,,,
RNU6ATAC,0.066,7.39E-01,,,
RNVU1-10,-0.112,8.28E-01,,,
RNVU1-14,0.086,8.19E-01,,,
RNVU1-15,-0.152,8.56E-01,,,
RNVU1-18,-0.146,5.64E-01,,,
RNVU1-3,-0.079,6.48E-01,,,
RNVU1-7,-0.708,7.89E-01,,,
RNY1,-0.219,7.34E-01,,,
RNY3,-0.153,8.81E-01,,,
RNY4,0.067,8.56E-01,,,
RNY5,-0.118,8.81E-01,,,
ROBO1,-0.069,2.23E-01,,,
ROBO2,-0.206,1.40E-01,,,
ROBO3,0.082,3.62E-01,,,
ROBO4,0.078,7.94E-01,,,
ROCK1,-0.010,9.76E-01,,,
ROCK1P1,-0.230,5.41E-01,,,
ROCK2,-0.044,7.44E-01,,,
ROGDI,0.124,3.39E-01,,,
ROM1,0.088,7.53E-01,,,
ROMO1,0.107,7.46E-01,,,
ROPN1L,0.067,2.81E-01,,,
ROR1-AS1,-0.089,4.52E-01,,,
RORA,-0.091,7.44E-01,,,
RORA-AS1,-0.004,8.39E-01,,,
RORB,-0.059,9.49E-01,,,
ROS1,-0.084,9.27E-01,,,
RP2,-0.033,9.24E-01,,,
RP9,-0.056,6.55E-01,,,
RP9P,-0.007,7.68E-01,,,
RPA1,-0.027,6.38E-01,,,
RPA2,-0.002,7.94E-01,,,
RPA3,-0.002,8.48E-01,,,
RPAIN,-0.040,4.04E-01,,,
RPAP1,0.099,2.39E-01,,,
RPAP2,-0.024,6.78E-01,,,
RPAP3,-0.016,8.11E-01,,,
RPARP-AS1,-0.021,9.84E-01,,,
RPE,-0.049,9.13E-01,,,
RPF1,-0.017,5.35E-01,,,
RPF2,0.018,8.60E-01,,,
RPGR,-0.025,8.63E-01,,,
RPGRIP1L,-0.084,3.34E-01,,,
RPH3A,-0.153,4.92E-01,,,
RPH3AL,0.022,9.99E-01,,,
RPIA,0.020,9.78E-01,,,
RPL10,0.044,8.96E-01,,,
RPL10A,-0.029,7.01E-01,,,
RPL10AP1,0.056,8.06E-01,,,
RPL10AP10,-0.016,8.67E-01,,,
RPL10AP13,0.078,6.00E-01,,,
RPL10P12,0.019,9.10E-01,,,
RPL10P16,-0.111,9.85E-01,,,
RPL10P6,-0.082,8.23E-01,,,
RPL10P9,-0.135,5.79E-01,,,
RPL11,0.021,9.27E-01,,,
RPL11P1,-0.108,5.31E-01,,,
RPL11P3,-0.030,9.18E-01,,,
RPL12,0.001,9.24E-01,,,
RPL12P11,-0.025,9.73E-01,,,
RPL12P12,0.192,1.51E-01,,,
RPL12P15,0.058,4.86E-01,,,
RPL12P16,-0.063,7.62E-01,,,
RPL12P20,0.168,2.95E-01,,,
RPL12P24,-0.006,8.98E-01,,,
RPL12P28,-0.054,9.72E-01,,,
RPL12P40,-0.075,8.57E-01,,,
RPL12P44,-0.055,8.42E-01,,,
RPL13,0.035,7.61E-01,,,
RPL13A,0.063,6.48E-01,,,
RPL13AP10,0.004,8.29E-01,,,
RPL13AP11,0.067,6.73E-01,,,
RPL13AP12,-0.067,4.71E-01,,,
RPL13AP15,0.010,9.97E-01,,,
RPL13AP18,-0.007,9.64E-01,,,
RPL13AP26,0.107,2.90E-01,,,
RPL13AP5,-0.161,8.08E-01,,,
RPL13AP6,0.077,5.43E-01,,,
RPL13P12,-0.126,7.90E-01,,,
RPL13P5,0.068,6.34E-01,,,
RPL14,0.016,8.42E-01,,,
RPL15,-0.092,2.45E-01,,,
RPL15P12,-0.066,7.40E-01,,,
RPL15P3,0.844,3.07E-01,,,
RPL17,-0.071,6.75E-01,,,
RPL17-C18orf32,-0.202,4.33E-01,,,
RPL17P15,0.001,8.71E-01,,,
RPL17P17,0.050,6.13E-01,,,
RPL17P18,0.013,8.93E-01,,,
RPL17P19,0.063,7.81E-01,,,
RPL17P24,-0.052,8.29E-01,,,
RPL17P25,-0.111,6.03E-01,,,
RPL17P29,-0.028,9.52E-01,,,
RPL17P47,-0.096,4.86E-01,,,
RPL17P48,-0.034,9.22E-01,,,
RPL17P49,0.046,6.85E-01,,,
RPL17P50,0.068,7.83E-01,,,
RPL17P6,0.050,9.55E-01,,,
RPL18,0.102,5.58E-01,,,
RPL18A,0.117,5.18E-01,,,
RPL18AP10,0.073,5.72E-01,,,
RPL18AP11,0.218,1.67E-01,,,
RPL18AP2,0.103,6.24E-01,,,
RPL18AP7,0.138,1.89E-01,,,
RPL18P10,-0.076,8.85E-01,,,
RPL18P6,-0.009,8.08E-01,,,
RPL19,0.068,5.92E-01,,,
RPL19P12,0.061,4.31E-01,,,
RPL19P6,-0.029,8.91E-01,,,
RPL19P9,0.017,8.68E-01,,,
RPL21,-0.023,7.77E-01,,,
RPL21P118,0.124,5.65E-01,,,
RPL21P123,0.112,6.99E-01,,,
RPL21P136,-0.044,8.31E-01,,,
RPL21P19,-0.043,8.99E-01,,,
RPL21P28,-0.030,8.39E-01,,,
RPL21P30,0.026,6.47E-01,,,
RPL21P32,-0.032,9.46E-01,,,
RPL21P44,-0.027,7.07E-01,,,
RPL21P48,0.042,9.83E-01,,,
RPL21P56,0.023,4.94E-01,,,
RPL21P60,-0.030,1.00E+00,,,
RPL21P72,-0.058,8.62E-01,,,
RPL21P75,-0.220,7.88E-01,,,
RPL21P8,0.094,9.15E-01,,,
RPL21P99,0.024,9.97E-01,,,
RPL22,-0.054,6.12E-01,,,
RPL22L1,-0.045,5.56E-01,,,
RPL22P1,0.040,9.58E-01,,,
RPL23,-0.015,8.85E-01,,,
RPL23A,-0.008,9.47E-01,,,
RPL23AP18,0.090,4.36E-01,,,
RPL23AP23,0.124,4.88E-01,,,
RPL23AP26,-0.032,9.39E-01,,,
RPL23AP30,-0.023,9.54E-01,,,
RPL23AP32,0.029,7.68E-01,,,
RPL23AP34,0.130,5.83E-01,,,
RPL23AP4,0.206,7.17E-01,,,
RPL23AP42,0.043,8.79E-01,,,
RPL23AP43,-0.027,8.48E-01,,,
RPL23AP45,-0.020,7.89E-01,,,
RPL23AP47,-0.072,3.80E-01,,,
RPL23AP49,-0.182,5.69E-01,,,
RPL23AP53,-0.040,9.06E-01,,,
RPL23AP63,0.078,9.99E-01,,,
RPL23AP64,-0.008,8.44E-01,,,
RPL23AP68,-0.035,8.81E-01,,,
RPL23AP7,0.088,6.41E-01,,,
RPL23AP74,-0.030,6.18E-01,,,
RPL23AP79,0.123,4.33E-01,,,
RPL23AP81,0.002,8.51E-01,,,
RPL23AP82,-0.001,9.37E-01,,,
RPL23P2,-0.028,9.60E-01,,,
RPL24,-0.044,4.86E-01,,,
RPL24P4,0.040,9.97E-01,,,
RPL26,0.007,9.99E-01,,,
RPL26L1,-0.029,7.16E-01,,,
RPL26P10,-0.047,8.57E-01,,,
RPL26P11,-0.039,9.06E-01,,,
RPL26P27,-0.052,8.29E-01,,,
RPL26P35,-0.082,7.30E-01,,,
RPL26P6,-0.027,5.69E-01,,,
RPL27,-0.105,2.39E-01,,,
RPL27A,0.008,9.24E-01,,,
RPL27AP,0.010,9.43E-01,,,
RPL27AP6,0.050,8.03E-01,,,
RPL27P3,0.006,8.33E-01,,,
RPL28,0.109,4.58E-01,,,
RPL29,0.039,8.35E-01,,,
RPL29P11,0.093,7.30E-01,,,
RPL29P12,-0.007,8.84E-01,,,
RPL29P14,-0.076,7.57E-01,,,
RPL29P15,-0.114,6.57E-01,,,
RPL29P4,0.267,3.56E-01,,,
RPL3,-0.017,7.80E-01,,,
RPL30,-0.043,7.56E-01,,,
RPL30P13,-0.122,5.18E-01,,,
RPL30P14,0.067,6.67E-01,,,
RPL30P2,-0.010,9.10E-01,,,
RPL31,0.012,9.61E-01,,,
RPL31P15,0.106,5.92E-01,,,
RPL31P19,0.084,7.59E-01,,,
RPL31P20,-0.050,9.52E-01,,,
RPL31P25,-0.027,8.35E-01,,,
RPL31P3,0.022,8.70E-01,,,
RPL31P31,0.018,7.22E-01,,,
RPL31P46,-0.020,8.86E-01,,,
RPL31P52,0.154,5.78E-01,,,
RPL31P58,-0.048,5.46E-01,,,
RPL31P8,0.078,8.54E-01,,,
RPL32,-0.016,7.33E-01,,,
RPL32P11,0.010,9.34E-01,,,
RPL32P17,-0.013,8.94E-01,,,
RPL32P27,0.058,9.42E-01,,,
RPL32P29,-0.007,8.12E-01,,,
RPL32P3,0.016,7.18E-01,,,
RPL32P31,-0.006,8.50E-01,,,
RPL32P32,-0.009,9.37E-01,,,
RPL32P36,-0.017,8.20E-01,,,
RPL34,0.001,9.20E-01,,,
RPL34P10,0.111,3.22E-01,,,
RPL34P14,-0.013,9.16E-01,,,
RPL34P17,0.281,2.66E-01,,,
RPL34P21,-0.010,6.63E-01,,,
RPL34P24,0.134,6.06E-01,,,
RPL34P28,-0.065,9.70E-01,,,
RPL34P5,0.087,9.42E-01,,,
RPL35,0.104,4.52E-01,,,
RPL35A,-0.025,6.96E-01,,,
RPL35AP,0.011,9.30E-01,,,
RPL35AP13,0.014,6.73E-01,,,
RPL35AP2,0.190,2.68E-01,,,
RPL35AP32,0.182,2.90E-01,,,
RPL35AP5,0.147,2.31E-01,,,
RPL35AP9,0.082,5.73E-01,,,
RPL35P3,0.080,9.12E-01,,,
RPL35P6,0.058,8.13E-01,,,
RPL36,0.145,3.46E-01,,,
RPL36A,-0.055,6.99E-01,,,
RPL36A-HNRNPH2,-0.201,4.00E-01,,,
RPL36AL,0.050,8.47E-01,,,
RPL36AP13,-0.050,6.34E-01,,,
RPL36AP15,0.045,5.92E-01,,,
RPL36AP16,0.080,9.00E-01,,,
RPL36AP29,-0.073,8.72E-01,,,
RPL36AP33,-0.016,8.20E-01,,,
RPL36AP37,0.023,9.61E-01,,,
RPL36AP41,0.186,3.78E-01,,,
RPL36AP42,-0.012,8.46E-01,,,
RPL36AP43,-0.104,6.99E-01,,,
RPL36AP52,0.028,7.91E-01,,,
RPL36AP54,-0.040,8.85E-01,,,
RPL36AP8,0.086,7.48E-01,,,
RPL36P10,-0.073,9.00E-01,,,
RPL36P5,-0.041,6.22E-01,,,
RPL36P6,-0.262,3.27E-01,,,
RPL36P9,0.081,6.46E-01,,,
RPL37,0.027,8.72E-01,,,
RPL37A,0.011,9.85E-01,,,
RPL37P12,0.033,9.89E-01,,,
RPL37P18,0.152,3.37E-01,,,
RPL37P22,0.168,3.74E-01,,,
RPL37P9,0.069,9.61E-01,,,
RPL38,0.041,8.70E-01,,,
RPL39,-0.060,7.02E-01,,,
RPL39L,0.037,7.43E-01,,,
RPL39P14,0.054,8.60E-01,,,
RPL39P17,0.010,6.34E-01,,,
RPL39P26,0.044,8.52E-01,,,
RPL39P29,-0.025,9.06E-01,,,
RPL39P3,0.054,9.02E-01,,,
RPL39P36,0.046,8.12E-01,,,
RPL3P4,-0.088,8.61E-01,,,
RPL3P6,0.015,7.59E-01,,,
RPL4,-0.020,8.88E-01,,,
RPL41,-0.058,5.26E-01,,,
RPL41P3,0.111,8.93E-01,,,
RPL41P5,-0.220,3.74E-01,,,
RPL5,-0.033,8.74E-01,,,
RPL5P1,0.019,9.21E-01,,,
RPL5P11,0.010,5.62E-01,,,
RPL5P14,0.107,4.95E-01,,,
RPL5P18,-0.041,7.72E-01,,,
RPL5P27,0.008,4.19E-01,,,
RPL5P30,0.027,8.10E-01,,,
RPL5P4,-0.093,6.90E-01,,,
RPL6,-0.010,9.93E-01,,,
RPL6P10,-0.089,8.51E-01,,,
RPL6P13,-0.060,6.36E-01,,,
RPL6P19,-0.095,6.35E-01,,,
RPL6P4,0.042,8.82E-01,,,
RPL6P6,0.018,9.15E-01,,,
RPL7,-0.052,4.43E-01,,,
RPL7A,-0.045,7.30E-01,,,
RPL7AP10,0.010,8.44E-01,,,
RPL7AP16,0.130,3.05E-01,,,
RPL7AP2,-0.024,9.31E-01,,,
RPL7AP22,-0.016,9.51E-01,,,
RPL7AP35,-0.009,9.97E-01,,,
RPL7AP39,-0.067,7.81E-01,,,
RPL7AP42,0.086,3.44E-01,,,
RPL7AP43,-0.016,9.20E-01,,,
RPL7AP45,-0.241,2.86E-01,,,
RPL7AP48,0.056,4.06E-01,,,
RPL7AP51,0.075,5.96E-01,,,
RPL7AP60,-0.005,9.81E-01,,,
RPL7AP62,-0.010,8.53E-01,,,
RPL7L1,-0.042,5.99E-01,,,
RPL7L1P12,0.005,8.69E-01,,,
RPL7L1P2,0.064,6.31E-01,,,
RPL7P11,0.088,3.71E-01,,,
RPL7P15,0.039,8.01E-01,,,
RPL7P18,0.048,9.97E-01,,,
RPL7P21,-0.014,9.42E-01,,,
RPL7P26,-0.014,9.05E-01,,,
RPL7P29,0.046,9.07E-01,,,
RPL7P46,0.013,8.13E-01,,,
RPL7P49,0.067,5.33E-01,,,
RPL7P52,-0.007,8.39E-01,,,
RPL7P57,-0.020,7.87E-01,,,
RPL7P7,0.014,9.35E-01,,,
RPL8,0.096,5.26E-01,,,
RPL9,0.296,9.48E-01,,,
RPL9P10,0.036,8.16E-01,,,
RPL9P17,0.067,5.90E-01,,,
RPL9P22,-0.064,8.46E-01,,,
RPL9P25,-0.009,7.99E-01,,,
RPL9P29,0.106,4.36E-01,,,
RPL9P30,-0.019,9.40E-01,,,
RPL9P32,0.076,3.34E-01,,,
RPL9P7,-0.100,5.27E-01,,,
RPL9P8,0.188,7.90E-01,,,
RPLP0,-0.050,5.14E-01,,,
RPLP1,0.148,3.14E-01,,,
RPLP1P11,-0.040,7.59E-01,,,
RPLP1P13,-0.117,4.31E-01,,,
RPLP1P8,0.150,2.61E-01,,,
RPLP2,0.125,4.51E-01,,,
RPN1,0.018,9.06E-01,,,
RPN2,-0.003,8.19E-01,,,
RPP14,-0.064,4.93E-01,,,
RPP21,0.109,5.11E-01,,,
RPP25,0.010,8.98E-01,,,
RPP25L,0.035,8.73E-01,,,
RPP30,-0.059,2.17E-01,,,
RPP38,-0.029,9.48E-01,,,
RPP40,0.046,7.70E-01,,,
RPPH1,0.238,2.92E-01,,,
RPRD1A,-0.056,6.55E-01,,,
RPRD1B,-0.053,2.39E-01,,,
RPRD2,0.006,8.78E-01,,,
RPRM,0.102,6.73E-01,,,
RPRML,0.153,3.93E-01,,,
RPS10,0.054,8.42E-01,,,
RPS10-NUDT3,-0.142,3.11E-01,,,
RPS10P14,0.072,7.13E-01,,,
RPS10P15,-0.052,4.22E-01,,,
RPS10P19,0.049,9.67E-01,,,
RPS10P2,-0.128,4.95E-01,,,
RPS10P7,0.133,3.62E-01,,,
RPS11,0.040,6.11E-01,,,
RPS11P5,0.099,4.33E-01,,,
RPS12,0.020,9.84E-01,,,
RPS12P12,0.006,8.13E-01,,,
RPS12P16,-0.066,9.93E-01,,,
RPS12P26,0.055,8.03E-01,,,
RPS12P3,-0.066,5.79E-01,,,
RPS12P30,-0.030,9.54E-01,,,
RPS12P32,-0.002,8.73E-01,,,
RPS12P9,0.034,7.74E-01,,,
RPS13,0.015,9.57E-01,,,
RPS14,0.000,9.45E-01,,,
RPS14P3,0.009,8.21E-01,,,
RPS14P8,0.061,8.75E-01,,,
RPS15,0.155,2.39E-01,,,
RPS15A,-0.096,3.97E-01,,,
RPS15AP1,0.103,4.48E-01,,,
RPS15AP10,0.023,6.70E-01,,,
RPS15AP13,-0.016,9.76E-01,,,
RPS15AP16,0.063,7.62E-01,,,
RPS15AP29,-0.124,4.71E-01,,,
RPS15AP3,-0.006,9.13E-01,,,
RPS15AP30,-0.063,9.32E-01,,,
RPS15AP6,-0.040,9.11E-01,,,
RPS15P2,0.094,7.82E-01,,,
RPS16,0.052,7.82E-01,,,
RPS16P1,0.128,5.32E-01,,,
RPS16P4,-0.066,9.15E-01,,,
RPS16P5,0.050,8.63E-01,,,
RPS17,0.009,9.26E-01,,,
RPS17P13,0.106,6.57E-01,,,
RPS18,0.017,9.12E-01,,,
RPS18P2,0.010,7.63E-01,,,
RPS18P5,-0.018,9.27E-01,,,
RPS18P9,-0.066,7.09E-01,,,
RPS19,0.077,5.51E-01,,,
RPS19BP1,0.100,5.34E-01,,,
RPS19P3,0.064,5.54E-01,,,
RPS19P4,-0.012,9.26E-01,,,
RPS2,0.091,5.61E-01,,,
RPS20,-0.046,4.05E-01,,,
RPS20P15,0.061,6.71E-01,,,
RPS20P18,0.029,8.26E-01,,,
RPS20P2,-0.031,7.50E-01,,,
RPS20P22,-0.074,4.51E-01,,,
RPS20P27,0.054,9.85E-01,,,
RPS20P33,0.141,7.04E-01,,,
RPS20P34,-0.053,9.47E-01,,,
RPS20P4,-0.029,8.61E-01,,,
RPS20P5,-0.004,6.58E-01,,,
RPS21,0.080,8.04E-01,,,
RPS21P4,0.041,9.74E-01,,,
RPS23,-0.103,4.82E-01,,,
RPS23P10,-0.024,9.98E-01,,,
RPS23P7,0.016,8.82E-01,,,
RPS23P8,0.525,8.10E-01,,,
RPS23P9,-0.014,9.79E-01,,,
RPS24,-0.012,8.10E-01,,,
RPS24P11,0.037,6.08E-01,,,
RPS24P14,0.015,8.93E-01,,,
RPS24P3,-0.074,4.22E-01,,,
RPS24P5,0.002,8.09E-01,,,
RPS24P9,0.100,6.12E-01,,,
RPS25,-0.013,8.50E-01,,,
RPS25P3,-0.010,8.46E-01,,,
RPS25P8,-0.046,6.35E-01,,,
RPS25P9,0.059,9.14E-01,,,
RPS26,0.088,5.58E-01,,,
RPS26P12,0.118,6.42E-01,,,
RPS26P25,0.103,5.79E-01,,,
RPS26P26,-0.085,8.79E-01,,,
RPS26P41,-0.193,4.62E-01,,,
RPS26P51,-0.101,4.25E-01,,,
RPS26P53,-0.134,4.46E-01,,,
RPS26P55,-0.078,6.71E-01,,,
RPS27,-0.031,6.94E-01,,,
RPS27A,-0.021,6.69E-01,,,
RPS27AP12,0.046,9.18E-01,,,
RPS27AP13,-0.023,9.07E-01,,,
RPS27AP7,0.045,5.76E-01,,,
RPS27L,-0.063,6.58E-01,,,
RPS27P19,0.034,7.48E-01,,,
RPS27P2,0.055,8.34E-01,,,
RPS27P8,-0.153,7.68E-01,,,
RPS28,-0.580,8.20E-01,,,
RPS28P1,0.073,6.30E-01,,,
RPS28P4,0.073,6.55E-01,,,
RPS28P7,1.145,3.59E-01,,,
RPS28P9,0.021,7.69E-01,,,
RPS29,0.021,9.01E-01,,,
RPS29P16,-0.054,7.37E-01,,,
RPS29P18,0.042,7.68E-01,,,
RPS29P22,-0.198,5.93E-01,,,
RPS29P5,-0.159,3.77E-01,,,
RPS2P14,0.045,7.29E-01,,,
RPS2P16,-0.007,9.00E-01,,,
RPS2P19,-0.115,4.33E-01,,,
RPS2P20,0.100,2.56E-01,,,
RPS2P3,0.022,8.05E-01,,,
RPS2P47,-0.001,9.46E-01,,,
RPS2P5,0.024,9.07E-01,,,
RPS2P50,-0.025,8.78E-01,,,
RPS2P53,0.135,3.56E-01,,,
RPS3,0.004,9.68E-01,,,
RPS3A,-0.039,7.06E-01,,,
RPS3AP14,-0.060,4.94E-01,,,
RPS3AP20,0.024,7.30E-01,,,
RPS3AP22,0.001,9.52E-01,,,
RPS3AP27,0.036,7.85E-01,,,
RPS3AP29,-0.072,8.19E-01,,,
RPS3AP31,0.096,6.34E-01,,,
RPS3AP34,0.050,7.68E-01,,,
RPS3AP38,-0.063,8.16E-01,,,
RPS3AP43,-0.068,9.15E-01,,,
RPS3P2,-0.030,9.36E-01,,,
RPS3P6,0.078,3.43E-01,,,
RPS3P7,0.037,3.47E-01,,,
RPS4X,-0.029,7.67E-01,,,
RPS4XP14,-0.032,9.85E-01,,,
RPS4XP15,-0.047,9.40E-01,,,
RPS4XP16,0.057,4.44E-01,,,
RPS4XP17,0.022,7.02E-01,,,
RPS4XP6,0.069,7.68E-01,,,
RPS4Y1,-0.471,7.65E-01,,,
RPS5,0.084,6.09E-01,,,
RPS6,0.017,8.94E-01,,,
RPS6KA1,0.161,1.55E-01,,,
RPS6KA2,0.011,5.59E-01,,,
RPS6KA3,-0.054,4.08E-01,,,
RPS6KA4,0.137,5.70E-01,,,
RPS6KA5,0.016,5.10E-01,,,
RPS6KA6,-0.159,2.34E-01,,,
RPS6KB1,-0.018,8.18E-01,,,
RPS6KB2,0.103,5.16E-01,,,
RPS6KC1,-0.055,6.03E-01,,,
RPS6KL1,0.097,6.64E-01,,,
RPS6P25,0.073,7.71E-01,,,
RPS6P9,-0.010,8.59E-01,,,
RPS7,0.012,9.11E-01,,,
RPS7P11,-0.023,9.80E-01,,,
RPS7P7,0.009,6.97E-01,,,
RPS8,0.007,9.70E-01,,,
RPS9,0.101,6.22E-01,,,
RPS9P3,0.001,9.84E-01,,,
RPSA,-0.036,5.07E-01,,,
RPSAP14,-0.049,8.24E-01,,,
RPSAP16,-0.052,7.44E-01,,,
RPSAP19,-0.204,5.04E-01,,,
RPSAP26,0.023,9.50E-01,,,
RPSAP30,0.030,9.11E-01,,,
RPSAP35,-0.035,8.62E-01,,,
RPSAP36,0.081,2.79E-01,,,
RPSAP41,-0.034,8.39E-01,,,
RPSAP58,-0.233,4.51E-01,,,
RPTOR,0.139,2.79E-01,,,
RPUSD1,0.209,2.80E-01,,,
RPUSD2,0.050,7.22E-01,,,
RPUSD3,0.090,5.60E-01,,,
RPUSD4,-0.011,9.28E-01,,,
RQCD1,-0.010,8.57E-01,,,
RRAGA,-0.013,8.91E-01,,,
RRAGB,-0.068,3.32E-01,,,
RRAGC,-0.024,6.34E-01,,,
RRAGD,-0.040,8.21E-01,,,
RRAS,0.151,3.61E-01,,,
RRAS2,-0.078,4.41E-01,,,
RRBP1,0.175,2.00E-01,,,
RREB1,0.192,1.64E-01,,,
RRM1,-0.068,5.68E-01,,,
RRM2B,-0.106,3.91E-01,,,
RRN3,-0.068,5.06E-01,,,
RRN3P1,-0.029,9.51E-01,,,
RRN3P2,0.050,6.91E-01,,,
RRN3P3,0.080,3.34E-01,,,
RRNAD1,0.091,2.91E-01,,,
RRP1,0.092,6.86E-01,,,
RRP12,0.094,4.02E-01,,,
RRP15,0.001,8.14E-01,,,
RRP1B,0.049,5.34E-01,,,
RRP36,0.041,8.81E-01,,,
RRP7A,0.055,8.69E-01,,,
RRP7BP,0.027,9.71E-01,,,
RRP8,0.033,9.18E-01,,,
RRP9,0.077,4.74E-01,,,
RRS1,0.030,9.51E-01,,,
RSAD1,0.038,4.66E-01,,,
RSAD2,0.035,9.85E-01,,,
RSBN1,-0.069,5.25E-01,,,
RSBN1L,-0.023,5.92E-01,,,
RSC1A1,0.022,8.06E-01,,,
RSF1,-0.033,7.59E-01,,,
RSG1,-0.024,8.62E-01,,,
RSL1D1,0.005,8.88E-01,,,
RSL24D1,-0.100,3.07E-01,,,
RSL24D1P9,0.007,5.38E-01,,,
RSPH1,-0.067,6.41E-01,,,
RSPH3,-0.106,2.90E-01,,,
RSPH4A,-0.001,9.31E-01,,,
RSPO2,-0.092,8.39E-01,,,
RSPO3,0.000,9.79E-01,,,
RSPRY1,0.004,9.29E-01,,,
RSRC1,-0.071,3.71E-01,,,
RSRC2,-0.016,8.86E-01,,,
RSRP1,-0.046,8.54E-01,,,
RSU1,-0.055,4.97E-01,,,
RSU1P3,0.062,4.03E-01,,,
RTBDN,-0.023,8.93E-01,,,
RTCA,-0.037,7.75E-01,,,
RTCA-AS1,-0.001,9.17E-01,,,
RTCB,-0.011,9.91E-01,,,
RTEL1,0.211,2.68E-01,,,
RTEL1-TNFRSF6B,0.091,8.87E-01,,,
RTF1,-0.143,2.64E-01,,,
RTFDC1,0.032,7.76E-01,,,
RTKN,0.170,2.64E-01,,,
RTKN2,-0.083,3.71E-01,,,
RTL1,0.091,9.94E-01,,,
RTN1,-0.213,3.02E-01,,,
RTN2,0.159,2.45E-01,,,
RTN3,-0.106,4.77E-01,,,
RTN4,-0.072,6.04E-01,,,
RTN4IP1,-0.073,4.41E-01,,,
RTN4R,0.316,3.08E-01,,,
RTN4RL1,0.149,5.48E-01,,,
RTN4RL2,0.254,2.05E-01,,,
RTP5,0.089,7.16E-01,,,
RTTN,0.054,5.61E-01,,,
RUFY1,0.071,4.11E-01,,,
RUFY2,-0.049,3.47E-01,,,
RUFY3,-0.041,7.97E-01,,,
RUNDC1,-0.023,9.42E-01,,,
RUNDC3A,0.038,8.39E-01,,,
RUNDC3A-AS1,-0.029,7.37E-01,,,
RUNDC3B,-0.110,2.82E-01,,,
RUNX1,0.004,8.20E-01,,,
RUNX1T1,-0.060,7.47E-01,,,
RUNX2,0.051,3.22E-01,,,
RUSC1,0.079,3.32E-01,,,
RUSC1-AS1,0.194,1.75E-01,,,
RUSC2,0.061,3.97E-01,,,
RUVBL1,0.042,7.42E-01,,,
RUVBL2,0.124,5.78E-01,,,
RWDD1,-0.008,9.64E-01,,,
RWDD2A,-0.085,3.63E-01,,,
RWDD2B,-0.080,4.13E-01,,,
RWDD3,-0.074,5.28E-01,,,
RWDD4,-0.038,3.79E-01,,,
RWDD4P1,0.167,1.55E-01,,,
RXFP1,-0.096,4.15E-01,,,
RXRA,0.149,2.53E-01,,,
RXRB,-0.023,9.14E-01,,,
RXRG,-0.102,3.61E-01,,,
RYBP,0.016,9.91E-01,,,
RYK,-0.018,9.01E-01,,,
RYKP1,-0.066,5.34E-01,,,
RYR1,0.038,7.13E-01,,,
RYR2,-0.145,2.60E-01,,,
RYR3,0.109,5.83E-01,,,
S100A1,-0.086,6.60E-01,,,
S100A10,0.104,8.65E-01,,,
S100A11,0.007,9.52E-01,,,
S100A11P2,-0.025,7.79E-01,,,
S100A11P3,-0.044,9.24E-01,,,
S100A12,-0.162,7.29E-01,,,
S100A13,-0.168,3.22E-01,,,
S100A16,-0.031,4.86E-01,,,
S100A4,0.225,5.79E-01,,,
S100A6,0.024,9.14E-01,,,
S100A7P2,-0.045,7.31E-01,,,
S100A8,-0.258,6.45E-01,,,
S100A9,-0.254,5.81E-01,,,
S100B,-0.053,8.93E-01,,,
S100PBP,0.030,5.77E-01,,,
S1PR1,0.060,6.84E-01,,,
S1PR2,0.007,8.72E-01,,,
S1PR3,0.001,9.15E-01,,,
S1PR5,0.263,1.40E-01,,,
SAA2,0.001,9.90E-01,,,
SAAL1,0.029,8.84E-01,,,
SAC3D1,0.095,6.21E-01,,,
SACM1L,-0.042,8.12E-01,,,
SACS,-0.022,8.90E-01,,,
SAE1,-0.008,8.14E-01,,,
SAFB,0.037,7.46E-01,,,
SAFB2,0.061,4.92E-01,,,
SALL1,0.167,1.64E-01,,,
SALL2,0.059,4.31E-01,,,
SALL3,0.142,3.61E-01,,,
SALL4P2,-0.015,8.86E-01,,,
SALL4P4,-0.028,9.06E-01,,,
SALRNA3,-0.005,9.45E-01,,,
SAMD1,0.209,3.11E-01,,,
SAMD11P1,0.199,2.00E-01,,,
SAMD12,-0.095,5.12E-01,,,
SAMD14,-0.034,5.44E-01,,,
SAMD15,-0.026,6.43E-01,,,
SAMD3,-0.028,7.19E-01,,,
SAMD4A,0.252,2.37E-01,,,
SAMD4B,0.069,6.37E-01,,,
SAMD5,-0.023,7.07E-01,,,
SAMD8,-0.031,8.11E-01,,,
SAMD9,0.088,6.11E-01,,,
SAMD9L,0.047,8.47E-01,,,
SAMHD1,-0.046,8.59E-01,,,
SAMM50,-0.046,3.73E-01,,,
SAMSN1,0.089,6.11E-01,,,
SAP130,0.040,7.30E-01,,,
SAP18,-0.048,3.93E-01,,,
SAP25,0.163,3.25E-01,,,
SAP30,0.003,8.73E-01,,,
SAP30BP,0.039,8.03E-01,,,
SAP30L,0.019,5.70E-01,,,
