ensembl_id,is_upregulated_in_AD,brain_region,study
ENSG00000011405,True,Frontal Lobe,Fisher_et_al
ENSG00000135540,True,Frontal Lobe,Fisher_et_al
ENSG00000079482,True,Frontal Lobe,Fisher_et_al
ENSG00000133812,True,Frontal Lobe,Fisher_et_al
ENSG00000143842,True,Frontal Lobe,Fisher_et_al
ENSG00000174306,True,Frontal Lobe,Fisher_et_al
ENSG00000027075,True,Frontal Lobe,Fisher_et_al
ENSG00000169439,True,Frontal Lobe,Fisher_et_al
ENSG00000173821,True,Frontal Lobe,Fisher_et_al
ENSG00000132825,True,Frontal Lobe,Fisher_et_al
ENSG00000158186,True,Frontal Lobe,Fisher_et_al
ENSG00000145685,True,Frontal Lobe,Fisher_et_al
ENSG00000044459,True,Frontal Lobe,Fisher_et_al
ENSG00000184005,True,Frontal Lobe,Fisher_et_al
ENSG00000176105,True,Frontal Lobe,Fisher_et_al
ENSG00000106080,True,Frontal Lobe,Fisher_et_al
ENSG00000130287,True,Frontal Lobe,Fisher_et_al
ENSG00000115183,True,Frontal Lobe,Fisher_et_al
ENSG00000128849,True,Frontal Lobe,Fisher_et_al
ENSG00000166263,True,Frontal Lobe,Fisher_et_al
ENSG00000163297,True,Frontal Lobe,Fisher_et_al
ENSG00000196247,True,Frontal Lobe,Fisher_et_al
ENSG00000137076,True,Frontal Lobe,Fisher_et_al
ENSG00000112333,True,Frontal Lobe,Fisher_et_al
ENSG00000126016,True,Frontal Lobe,Fisher_et_al
ENSG00000143409,True,Frontal Lobe,Fisher_et_al
ENSG00000146005,True,Frontal Lobe,Fisher_et_al
ENSG00000166341,True,Frontal Lobe,Fisher_et_al
ENSG00000162738,True,Frontal Lobe,Fisher_et_al
ENSG00000134376,True,Frontal Lobe,Fisher_et_al
ENSG00000138448,True,Frontal Lobe,Fisher_et_al
ENSG00000181449,True,Frontal Lobe,Fisher_et_al
ENSG00000180257,True,Frontal Lobe,Fisher_et_al
ENSG00000174705,True,Frontal Lobe,Fisher_et_al
ENSG00000205213,True,Frontal Lobe,Fisher_et_al
ENSG00000171791,True,Frontal Lobe,Fisher_et_al
ENSG00000113721,True,Frontal Lobe,Fisher_et_al
ENSG00000140575,True,Frontal Lobe,Fisher_et_al
ENSG00000120063,True,Frontal Lobe,Fisher_et_al
ENSG00000084093,True,Frontal Lobe,Fisher_et_al
ENSG00000166912,True,Frontal Lobe,Fisher_et_al
ENSG00000067141,True,Frontal Lobe,Fisher_et_al
ENSG00000100441,True,Frontal Lobe,Fisher_et_al
ENSG00000088826,True,Frontal Lobe,Fisher_et_al
ENSG00000168672,True,Frontal Lobe,Fisher_et_al
ENSG00000134769,True,Frontal Lobe,Fisher_et_al
ENSG00000116117,True,Frontal Lobe,Fisher_et_al
ENSG00000126785,True,Frontal Lobe,Fisher_et_al
ENSG00000103319,True,Frontal Lobe,Fisher_et_al
ENSG00000054654,True,Frontal Lobe,Fisher_et_al
ENSG00000178104,True,Frontal Lobe,Fisher_et_al
ENSG00000172380,True,Frontal Lobe,Fisher_et_al
ENSG00000078177,True,Frontal Lobe,Fisher_et_al
ENSG00000145555,True,Frontal Lobe,Fisher_et_al
ENSG00000163629,True,Frontal Lobe,Fisher_et_al
ENSG00000206190,True,Frontal Lobe,Fisher_et_al
ENSG00000100234,True,Frontal Lobe,Fisher_et_al
ENSG00000168918,True,Frontal Lobe,Fisher_et_al
ENSG00000067900,True,Frontal Lobe,Fisher_et_al
ENSG00000162909,True,Frontal Lobe,Fisher_et_al
ENSG00000188647,True,Frontal Lobe,Fisher_et_al
ENSG00000164292,True,Frontal Lobe,Fisher_et_al
ENSG00000139352,True,Frontal Lobe,Fisher_et_al
ENSG00000011114,True,Frontal Lobe,Fisher_et_al
ENSG00000205730,True,Frontal Lobe,Fisher_et_al
ENSG00000066056,True,Frontal Lobe,Fisher_et_al
ENSG00000213064,True,Frontal Lobe,Fisher_et_al
ENSG00000280670,True,Frontal Lobe,Fisher_et_al
ENSG00000123096,True,Frontal Lobe,Fisher_et_al
ENSG00000123094,True,Frontal Lobe,Fisher_et_al
ENSG00000147883,True,Frontal Lobe,Fisher_et_al
