MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
LIMASI|ENSG00000266978	ad	control	62.00	-0.190	0.8497	?????--?
RPSAP69|ENSG00000233487	ad	control	101.00	-0.456	0.6481	????+--?
MIA2|ENSG00000150527	ad	control	279.00	-0.387	0.6988	--+++--+
STAG1|ENSG00000118007	ad	control	173.00	-1.432	0.1523	-----++?
DYRK3-AS1|ENSG00000237605	ad	control	168.00	0.515	0.6067	?????+-+
VRK2|ENSG00000028116	ad	control	279.00	-1.424	0.1546	-----++-
LINC02102|ENSG00000248677	ad	control	134.00	-0.918	0.3584	----?++?
LEPR|ENSG00000116678	ad	control	173.00	0.271	0.7866	+-++-++?
RFX5-AS1|ENSG00000237976	ad	control	168.00	-0.377	0.7061	?????--+
TIGD4|ENSG00000169989	ad	control	173.00	0.869	0.3848	+++++--?
IKZF4|ENSG00000123411	ad	control	279.00	-0.764	0.4449	----+---
ADGRA3P1|ENSG00000256616	ad	control	101.00	-1.890	0.0587	????---?
ACAD11|ENSG00000240303	ad	control	173.00	0.055	0.9563	--+-+--?
PDE4C|ENSG00000285188	ad	control	279.00	-2.380	0.01731	----+---
RPL18AP13|ENSG00000213304	ad	control	62.00	-0.565	0.5722	?????--?
SNORD30|ENSG00000277846	ad	control	31.00	0.030	0.9758	??????+?
MSMO1|ENSG00000052802	ad	control	279.00	1.328	0.1842	+++++--+
TMEM123|ENSG00000152558	ad	control	173.00	-3.284	0.001024	------+?
MIR320C1|ENSG00000221493	ad	control	31.00	-0.011	0.9916	??????-?
AKR1C3|ENSG00000196139	ad	control	279.00	-2.425	0.01531	------++
LINC02640|ENSG00000233590	ad	control	31.00	-0.011	0.9916	??????-?
SOD1-DT|ENSG00000234509	ad	control	168.00	-0.787	0.4313	?????--+
MBLAC2|ENSG00000176055	ad	control	279.00	1.639	0.1013	+++++--+
TMEM200B|ENSG00000253304	ad	control	173.00	-2.993	0.002763	+-----+?
ENTREP1|ENSG00000135063	ad	control	279.00	-3.114	0.001846	--------
SYNRG|ENSG00000275066	ad	control	279.00	-0.313	0.7546	-+--+++-
CDK7|ENSG00000134058	ad	control	279.00	-0.293	0.7693	-++++--+
RN7SL122P|ENSG00000263529	ad	control	31.00	0.356	0.7215	?????+??
ZNF496-DT|ENSG00000291885	ad	control	106.00	-0.536	0.592	???????-
KRT1|ENSG00000167768	ad	control	62.00	-1.385	0.1662	?????--?
ZNF100|ENSG00000274746	ad	control	279.00	-2.145	0.03196	-------+
RNU6-762P|ENSG00000252916	ad	control	62.00	0.089	0.9292	?????-+?
RBM25|ENSG00000119707	ad	control	173.00	2.022	0.04317	----+++?
TRGV9|ENSG00000211695	ad	control	62.00	3.071	0.002133	?????++?
SRP68P1|ENSG00000266129	ad	control	106.00	0.270	0.787	???????+
