MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
SULT1A3|ENSG00000261052	ad	control	163.0	0.856	0.3923	????+-++-?????	0.8419693718215028
CHRNB1|ENSG00000283946	ad	control	687.0	-0.859	0.3905	------+++-+++-	0.8399984202211691
LINC00402|ENSG00000235532	ad	control	142.0	1.299	0.1939	-++++???+?????	0.5886165788406972
STRA6|ENSG00000288257	ad	control	152.0	0.282	0.7778	?????++--????+	0.9992687041810332
RLF|ENSG00000117000	ad	control	235.0	2.918	0.003523	++++++-+-?????	0.05563257142857143
HES2|ENSG00000069812	ad	control	93.0	-0.067	0.9462	?????-+?+?????	0.9992687041810332
RAF1P1|ENSG00000250040	ad	control	31.0	-0.112	0.9106	????????-?????	0.9992687041810332
PLCXD3|ENSG00000182836	ad	control	687.0	2.126	0.03347	++++++----+-++	0.21419083956419568
BLTP3B|ENSG00000111647	ad	control	687.0	2.66	0.00781	++++++-++++-++	0.08919418985894013
TUBAP14|ENSG00000247763	ad	control	31.0	-0.187	0.8517	?????-????????	0.9992687041810332
RNU6-101P|ENSG00000222255	ad	control	31.0	-0.019	0.9851	???????-??????	0.9992687041810332
ARHGAP20|ENSG00000137727	ad	control	687.0	2.374	0.01762	+++++----++-++	0.146536568573015
PURB|ENSG00000146676	ad	control	687.0	1.172	0.2411	++++++--+++++-	0.6582566168428728
DCAF17|ENSG00000115827	ad	control	687.0	1.285	0.1987	---+++++++++--	0.5959408490188226
WASH4P|ENSG00000234769	ad	control	152.0	-1.186	0.2355	?????----????-	0.6495983425414364
HSFY3P|ENSG00000227289	ad	control	124.0	0.051	0.9592	?????+-++?????	0.9992687041810332
COL1A1|ENSG00000108821	ad	control	263.0	-1.833	0.06676	+--+---+-????-	0.3198756493921945
MMADHC-DT|ENSG00000231969	ad	control	576.0	0.648	0.5171	?????--+-++++-	0.9480535895709652
ZDHHC24|ENSG00000174165	ad	control	687.0	-1.69	0.09098	----+----++--+	0.38341488816992547
TRIM8-DT|ENSG00000272933	ad	control	615.0	-3.438	0.000586	????----------	0.018681071489361704
FOXC2|ENSG00000176692	ad	control	196.0	-2.189	0.02861	----?---+?????	0.19571618177666136
