MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
SMIM18|ENSG00000253457	ad	control	137.00	-0.138	0.89	?-+
CLCA2|ENSG00000137975	ad	control	31.00	0.123	0.902	?+?
LOC124903419|ENSG00000201500	ad	control	31.00	-0.049	0.9606	?-?
SLC2A13|ENSG00000151229	ad	control	176.00	1.147	0.2513	+-+
RPL13A|ENSG00000142541	ad	control	176.00	-0.473	0.6362	-+-
NTM-AS1|ENSG00000224795	ad	control	70.00	2.767	0.005653	++?
EMX2|ENSG00000170370	ad	control	70.00	-0.622	0.5339	-+?
WFDC11|ENSG00000180083	ad	control	31.00	0.008	0.9936	?+?
RPS26P6|ENSG00000212994	ad	control	31.00	0.063	0.95	?+?
RHOV|ENSG00000104140	ad	control	31.00	-2.589	0.009627	?-?
GOLGA4-AS1|ENSG00000270194	ad	control	176.00	0.508	0.6115	+-+
NLRX1|ENSG00000160703	ad	control	176.00	-1.028	0.3042	+--
SULT1E1|ENSG00000109193	ad	control	31.00	-0.282	0.7776	?-?
TBK1|ENSG00000183735	ad	control	176.00	0.138	0.8901	-++
GARIN5A|ENSG00000142530	ad	control	176.00	-0.520	0.6034	+--
SSTR3|ENSG00000278195	ad	control	176.00	-1.014	0.3108	+--
PKD1L1|ENSG00000158683	ad	control	70.00	-0.992	0.3211	+-?
LINC00663|ENSG00000266904	ad	control	176.00	-0.299	0.7648	-+-
TCEAL5|ENSG00000204065	ad	control	176.00	1.451	0.1467	+-+
ZKSCAN8P1|ENSG00000226314	ad	control	176.00	-0.446	0.6554	--+
RPS6KA2-IT1|ENSG00000232082	ad	control	31.00	-1.490	0.1363	?-?
RPL39P26|ENSG00000240454	ad	control	106.00	-0.187	0.852	??-
LINC01994|ENSG00000241098	ad	control	31.00	0.267	0.7896	?+?
CLMN|ENSG00000165959	ad	control	176.00	0.562	0.5744	-+-
SSR2|ENSG00000163479	ad	control	176.00	-0.812	0.4168	-++
SFT2D2|ENSG00000213064	ad	control	176.00	-1.383	0.1666	-+-
SHPK|ENSG00000197417	ad	control	176.00	-0.423	0.6723	+--
JPH3|ENSG00000154118	ad	control	176.00	-0.101	0.9196	+--
DNAH9|ENSG00000007174	ad	control	176.00	-0.804	0.4216	---
TENM2-AS1|ENSG00000253978	ad	control	137.00	0.927	0.354	?-+
LOC102723670|ENSG00000259868	ad	control	31.00	-1.140	0.2544	?-?
CCL8|ENSG00000108700	ad	control	31.00	0.074	0.9407	?+?
FAM228B|ENSG00000219626	ad	control	176.00	-0.560	0.5754	--+
TRRAP|ENSG00000196367	ad	control	176.00	-1.705	0.08821	---
VTI1BP2|ENSG00000213434	ad	control	31.00	0.659	0.5102	?+?
FAM87A|ENSG00000182366	ad	control	70.00	-0.202	0.8403	+-?
GLTP|ENSG00000139433	ad	control	176.00	-1.559	0.119	-+-
Y_RNA|ENSG00000201451	ad	control	31.00	0.036	0.971	?+?
MBL3P|ENSG00000219430	ad	control	31.00	-0.631	0.5281	?-?
PRR22|ENSG00000212123	ad	control	31.00	-0.457	0.6476	?-?
ERV3-1|ENSG00000213462	ad	control	70.00	-0.160	0.8732	+-?
ARRDC1-AS1|ENSG00000203993	ad	control	176.00	-1.645	0.09998	---
RNF181|ENSG00000168894	ad	control	176.00	-0.105	0.9162	+-+
LINC01012|ENSG00000281706	ad	control	137.00	0.010	0.9923	?-+
NUDT16|ENSG00000198585	ad	control	70.00	1.314	0.1887	++?
GPR182|ENSG00000166856	ad	control	70.00	0.629	0.5292	++?
GPR161|ENSG00000143147	ad	control	176.00	-1.765	0.07752	---
CYP4F60P|ENSG00000230635	ad	control	31.00	0.748	0.4542	?+?
DUBR|ENSG00000243701	ad	control	176.00	1.139	0.2545	++-
RN7SL812P|ENSG00000242876	ad	control	31.00	-0.329	0.7422	?-?
COL17A1|ENSG00000065618	ad	control	31.00	-2.321	0.02026	?-?
PMM2|ENSG00000140650	ad	control	176.00	1.143	0.253	+-+
GJD2-DT|ENSG00000250007	ad	control	31.00	-0.619	0.536	?-?
ARPC3|ENSG00000111229	ad	control	176.00	0.365	0.7153	+--
RPS2P1|ENSG00000225246	ad	control	31.00	-0.009	0.9925	?-?
VN1R80P|ENSG00000268598	ad	control	31.00	0.202	0.8396	?+?
MIR6867|ENSG00000274621	ad	control	31.00	-0.381	0.7029	?-?
IGHV3-41|ENSG00000278473	ad	control	31.00	0.023	0.9818	?+?
LOC645853|ENSG00000251211	ad	control	31.00	0.261	0.7939	?+?
SNORA59A|ENSG00000239149	ad	control	137.00	0.089	0.929	?++
INS-IGF2|ENSG00000129965	ad	control	106.00	-0.164	0.87	??-
LINC00968|ENSG00000246430	ad	control	31.00	-0.241	0.8096	?-?
SCUBE3-AS1|ENSG00000272374	ad	control	176.00	0.676	0.4992	++-
AP5S1|ENSG00000125843	ad	control	176.00	0.150	0.8806	+--
PCNPP3|ENSG00000213344	ad	control	31.00	0.440	0.6597	?+?
FAM162A|ENSG00000114023	ad	control	176.00	0.890	0.3736	+-+
FGF20|ENSG00000078579	ad	control	31.00	-0.233	0.8159	?-?
RERG-IT1|ENSG00000256650	ad	control	31.00	-0.135	0.8928	?-?
KIF4A|ENSG00000090889	ad	control	31.00	2.317	0.02048	?+?
SNX5P2|ENSG00000258033	ad	control	137.00	0.113	0.9104	?++
VN2R10P|ENSG00000226348	ad	control	31.00	0.215	0.8298	?+?
PECAM1|ENSG00000261371	ad	control	176.00	-0.509	0.6104	-++
DFFB|ENSG00000169598	ad	control	176.00	0.069	0.9454	+--
