MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
AKR1C2|ENSG00000151632	ad	control	279.0	-5.435	5.468e-08	-----++-	4.48376e-05
TEX22|ENSG00000226174	ad	control	134.0	-5.238	1.622e-07	----?--?	8.166912280701755e-05
SLC35F6|ENSG00000213699	ad	control	279.0	-3.177	0.001486	+-------	0.024867755102040815
RSPH3|ENSG00000130363	ad	control	279.0	3.342	0.0008304	++++++-+	0.017170374639769455
SLC6A9|ENSG00000196517	ad	control	279.0	-2.964	0.003034	-----++-	0.039906416131989
NIBAN1|ENSG00000135842	ad	control	279.0	-3.46	0.0005406	-------+	0.012994321608040201
FBXO9|ENSG00000112146	ad	control	279.0	3.197	0.001386	+++++--+	0.023805026929982046
EIF3J-DT|ENSG00000179523	ad	control	279.0	3.17	0.001522	+++++-++	0.025307879490150634
RELA|ENSG00000173039	ad	control	173.0	-3.706	0.0002106	------+?	0.006955373993095512
SLC38A10|ENSG00000157637	ad	control	279.0	-2.916	0.003546	------+-	0.04422868318122556
RAB43|ENSG00000172780	ad	control	279.0	-2.899	0.003745	--------	0.04585388225255973
CDK2AP2|ENSG00000167797	ad	control	279.0	-2.878	0.003996	-----++-	0.04808603773584907
SCIN|ENSG00000006747	ad	control	279.0	-3.316	0.0009124	+--+----	0.018317825174825175
DUSP28|ENSG00000188542	ad	control	279.0	-3.601	0.0003166	----+---	0.00908642
ARL6IP6|ENSG00000177917	ad	control	279.0	-3.643	0.0002698	-----++-	0.008202605932203389
SUFU|ENSG00000107882	ad	control	279.0	-3.992	6.557e-05	------+-	0.003386703237410072
LINC02872|ENSG00000204446	ad	control	134.0	3.708	0.0002086	-+++?++?	0.006897258064516128
WFS1|ENSG00000109501	ad	control	279.0	-3.177	0.001486	--------	0.024867755102040815
IFT81|ENSG00000122970	ad	control	279.0	3.397	0.0006811	++++++++	0.015083001543209879
PCOLCE2|ENSG00000163710	ad	control	173.0	-3.353	0.0008006	----+--?	0.016783944485025567
C12orf75|ENSG00000235162	ad	control	279.0	-4.784	1.714e-06	--------	0.0003852757575757576
ELN|ENSG00000049540	ad	control	173.0	-5.118	3.086e-07	------+?	0.00012179808219178082
HK1|ENSG00000156515	ad	control	173.0	3.473	0.0005153	+++++--?	0.01257577380952381
