MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
LOC100288146|ENSG00000251473	ad	control	452.00	1.268	0.2048	?????????-++++
SPAG17|ENSG00000155761	ad	control	617.00	-1.167	0.2431	+-+-?+?-----+-
TMEM191C|ENSG00000206140	ad	control	163.00	-0.300	0.7643	????+++--?????
SLC22A16|ENSG00000004809	ad	control	124.00	1.532	0.1254	?????++++?????
PRDM10-DT|ENSG00000233220	ad	control	576.00	-0.839	0.4015	?????--++-+-+-
ACTBP15|ENSG00000213857	ad	control	93.00	-0.154	0.8777	?????-?-+?????
GOLGA6L26|ENSG00000288440	ad	control	31.00	-0.052	0.9585	???????-??????
HAR1B|ENSG00000231133	ad	control	124.00	-0.786	0.4317	?????-+--?????
SPRR2A|ENSG00000241794	ad	control	31.00	-0.252	0.8007	??????-???????
BAHCC1|ENSG00000266074	ad	control	659.00	-0.461	0.6451	----+++++----?
RPS27AP16|ENSG00000224631	ad	control	124.00	1.707	0.08782	?????+-++?????
POU6F2-AS1|ENSG00000224122	ad	control	452.00	-0.695	0.4873	?????????-+--+
C2orf66|ENSG00000187944	ad	control	93.00	-1.042	0.2974	?????-?--?????
HSPE1P26|ENSG00000220867	ad	control	93.00	0.241	0.8094	??????+-+?????
EXOSC1|ENSG00000171311	ad	control	687.00	0.046	0.9633	-----------+++
BCAR3|ENSG00000137936	ad	control	687.00	-3.101	0.00193	-----++++-----
FBXW10|ENSG00000171931	ad	control	124.00	-0.201	0.8409	?????++--?????
EBLN2|ENSG00000255423	ad	control	659.00	-0.322	0.7471	-----++-+-0++?
AMPD3|ENSG00000133805	ad	control	687.00	0.853	0.3934	-----++++-++-+
SNURF|ENSG00000273173	ad	control	235.00	-0.124	0.9013	+++++----?????
CTTNBP2NL|ENSG00000143079	ad	control	687.00	-1.981	0.04759	-----+-++--++-
PIK3C3|ENSG00000078142	ad	control	687.00	2.980	0.002883	+++++--+++++++
HIF1A|ENSG00000100644	ad	control	235.00	-1.219	0.223	-+-+++---?????
ATP13A1|ENSG00000105726	ad	control	687.00	-2.263	0.02363	------+-------
DNASE2B|ENSG00000137976	ad	control	152.00	-0.933	0.3506	?????++-+????-
ZBTB16|ENSG00000109906	ad	control	687.00	-3.516	0.0004387	-------++-----
TEFM|ENSG00000172171	ad	control	687.00	-0.890	0.3732	-----++--++-++
EIF3J|ENSG00000104131	ad	control	235.00	-0.008	0.9932	-+---+-++?????
OCM2|ENSG00000135175	ad	control	62.00	-0.054	0.9567	???????-+?????
MAML2|ENSG00000184384	ad	control	235.00	-4.239	2.244e-05	-----+++-?????
SLC17A5|ENSG00000119899	ad	control	687.00	-1.255	0.2094	-+-------++++-
KLHL34|ENSG00000185915	ad	control	235.00	1.022	0.3066	--+-+++++?????
DPCD|ENSG00000166171	ad	control	687.00	-0.405	0.6854	-++++-----+-++
LINC01339|ENSG00000248555	ad	control	62.00	-0.093	0.9261	?????-+???????
FAM133DP|ENSG00000230562	ad	control	124.00	0.123	0.9023	?????--++?????
PLXNC1|ENSG00000136040	ad	control	687.00	2.778	0.005473	+++++-+--++-++
IATPR|ENSG00000233387	ad	control	31.00	0.440	0.6597	????????+?????
